# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.847818261476364965e-01 6.845313101773246034e-01 2.993201695743384905e-01 2.992106682998425526e-01 1.221714977854442864e-02 1.221268033876908403e-02
5.049999999999999822e+00 6.847825817079880029e-01 6.852319626181320178e-01 2.993210878899950078e-01 2.995175140061000496e-01 1.217990184699877833e-02 1.218789477135707143e-02
5.099999999999999645e+00 6.847824098592946163e-01 6.847886280462224251e-01 2.993195440795841655e-01 2.993222620595576977e-01 1.214278069288373882e-02 1.214289095576299125e-02
5.149999999999999467e+00 6.847818444636101232e-01 6.848222782325332769e-01 2.993196128616795182e-01 2.993372865487938794e-01 1.210594996407197282e-02 1.210666477447093665e-02
5.199999999999999289e+00 6.847853526772407218e-01 6.852641640418934976e-01 2.993228410991106703e-01 2.995321317585240006e-01 1.206946939915768888e-02 1.207790853865016271e-02
5.249999999999999112e+00 6.847862004895639565e-01 6.844867871011612870e-01 2.993228868976079982e-01 2.991920120643704051e-01 1.203308088030584887e-02 1.202781958047720139e-02
5.299999999999998934e+00 6.847831979346448161e-01 6.848314326434029597e-01 2.993205909347762539e-01 2.993416744566450571e-01 1.199681727193492066e-02 1.199766230287154650e-02
5.349999999999998757e+00 6.847870413164136583e-01 6.851187757983504545e-01 2.993232261005879247e-01 2.994682286040687424e-01 1.196096807594757006e-02 1.196676238178097026e-02
5.399999999999998579e+00 6.847869432831159564e-01 6.844175371418963483e-01 2.993241458541708866e-01 2.991626763945405276e-01 1.192526477506656961e-02 1.191883172886615792e-02
5.449999999999998401e+00 6.847844912573407550e-01 6.849437793833341726e-01 2.993224278357734525e-01 2.993920534029503866e-01 1.188966942743886757e-02 1.189243509048462481e-02
5.499999999999998224e+00 6.847876985207964617e-01 6.849326613861967950e-01 2.993236133600810644e-01 2.993869772446373645e-01 1.185440052911212322e-02 1.185690998988662981e-02
5.549999999999998046e+00 6.847859475237804139e-01 6.846060499349705397e-01 2.993237479869464979e-01 2.992451137498814973e-01 1.181929903206106747e-02 1.181619402763599454e-02
5.599999999999997868e+00 6.847869295869312145e-01 6.850827008693911591e-01 2.993244482508233828e-01 2.994537316411827188e-01 1.178442709648911020e-02 1.178951699374735165e-02
5.649999999999997691e+00 6.847898462278310117e-01 6.845509403600829046e-01 2.993253892806686522e-01 2.992209622184698325e-01 1.174976994232261769e-02 1.174567074459155480e-02
5.699999999999997513e+00 6.847869262207649799e-01 6.846968691040666855e-01 2.993243342217473124e-01 2.992849697341009030e-01 1.171523813000968119e-02 1.171369744556167991e-02
5.749999999999997335e+00 6.847901490941893377e-01 6.851710524038224781e-01 2.993261320063111963e-01 2.994926272669274914e-01 1.168101978561214734e-02 1.168751716163619718e-02
5.799999999999997158e+00 6.847913504926430583e-01 6.843891476920517247e-01 2.993267508085160067e-01 2.991509453498453208e-01 1.164695528437805633e-02 1.164011460505234852e-02
5.849999999999996980e+00 6.847884687805001480e-01 6.848605765412207891e-01 2.993256598666685919e-01 2.993571786553795855e-01 1.161302269123835537e-02 1.161424553464130392e-02
5.899999999999996803e+00 6.847920474510788003e-01 6.852426751255173976e-01 2.993273045680654443e-01 2.995242770178121461e-01 1.157939282661762069e-02 1.158701265059234806e-02
5.949999999999996625e+00 6.847908282638202060e-01 6.845907791088388095e-01 2.993267383594135911e-01 2.992392955102972651e-01 1.154587226072955296e-02 1.154249934465949312e-02
5.999999999999996447e+00 6.847898208990781388e-01 6.850003225952516761e-01 2.993267190334792938e-01 2.994187308890058352e-01 1.151256611667228306e-02 1.151610503419253466e-02
6.049999999999996270e+00 6.847936945945194420e-01 6.849750000174966713e-01 2.993287551972698690e-01 2.994080052356371535e-01 1.147953040066231750e-02 1.148256971181734268e-02
6.099999999999996092e+00 6.847910292238027496e-01 6.846807120105576905e-01 2.993272030276498130e-01 2.992789825611464893e-01 1.144654696090439266e-02 1.144470296600942801e-02
6.149999999999995914e+00 6.847915557299851796e-01 6.849500328756331635e-01 2.993274490769609608e-01 2.993967206083443244e-01 1.141382074649994333e-02 1.141646217762990953e-02
6.199999999999995737e+00 6.847946882822522063e-01 6.846037883498923282e-01 2.993296502231526102e-01 2.992462062202146944e-01 1.138135552179287725e-02 1.137818274601577057e-02
6.249999999999995559e+00 6.847919358992913264e-01 6.847145237403949869e-01 2.993284670970499661e-01 2.992946295740851470e-01 1.134894661979336632e-02 1.134766368053403626e-02
6.299999999999995381e+00 6.847928286232835005e-01 6.849638393889500021e-01 2.993281621438534934e-01 2.994029122522865460e-01 1.131675471243302755e-02 1.131958080348909740e-02
6.349999999999995204e+00 6.847938950775779299e-01 6.846243107407103956e-01 2.993291026240496588e-01 2.992549759010479926e-01 1.128479180486521155e-02 1.128199720644856158e-02
6.399999999999995026e+00 6.847927334928973764e-01 6.848362474645518505e-01 2.993294832874198175e-01 2.993485036625115336e-01 1.125298809351202647e-02 1.125370314520720248e-02
6.449999999999994849e+00 6.847947610943134755e-01 6.849501431751852110e-01 2.993298370992026891e-01 2.993977559788406628e-01 1.122136221552775051e-02 1.122390837783845269e-02
6.499999999999994671e+00 6.847937855203316548e-01 6.847752391159912522e-01 2.993288685953749972e-01 2.993207618129463121e-01 1.118986424655607839e-02 1.118956118926902471e-02
6.549999999999994493e+00 6.847941224479824340e-01 6.848385437624366912e-01 2.993299575780143940e-01 2.993493745527449068e-01 1.115861910822048622e-02 1.115934294698024340e-02
6.599999999999994316e+00 6.847973061646229764e-01 6.848216503286721490e-01 2.993318371443787207e-01 2.993424782250064808e-01 1.112757758901036440e-02 1.112797316821585725e-02
6.649999999999994138e+00 6.847948329977086024e-01 6.848353077036173353e-01 2.993298811781950342e-01 2.993475730303040150e-01 1.109656649409435092e-02 1.109722235515492490e-02
6.699999999999993960e+00 6.847950325456836351e-01 6.848040172540788006e-01 2.993299399968419872e-01 2.993338672920135002e-01 1.106580184831209256e-02 1.106594703482490297e-02
6.749999999999993783e+00 6.847977042315739338e-01 6.848726378130080006e-01 2.993321449939075896e-01 2.993648992358159955e-01 1.103528645138830179e-02 1.103649398104391242e-02
6.799999999999993605e+00 6.847952415193762077e-01 6.848883239549170554e-01 2.993309790216688304e-01 2.993716663028747060e-01 1.100481540520841829e-02 1.100631126113510438e-02
6.849999999999993427e+00 6.847957231645364073e-01 6.847533598522570486e-01 2.993304211226699429e-01 2.993119037346726463e-01 1.097453422997873677e-02 1.097385531566169581e-02
6.899999999999993250e+00 6.847968118213983990e-01 6.849730425798257194e-01 2.993313566172078888e-01 2.994083887982681436e-01 1.094447373371875733e-02 1.094729026684710185e-02
6.949999999999993072e+00 6.847956701536941360e-01 6.848110929802156965e-01 2.993315704986836412e-01 2.993383119824363225e-01 1.091455133997023749e-02 1.091479715523925066e-02
6.999999999999992895e+00 6.847976486351726733e-01 6.846118202994857516e-01 2.993319882009444211e-01 2.992507607532507441e-01 1.088479957094343718e-02 1.088184584557275875e-02
7.049999999999992717e+00 6.847967461306090353e-01 6.849258185972409985e-01 2.993312489445754121e-01 2.993876677620707083e-01 1.085516768611334733e-02 1.085721369944046485e-02
7.099999999999992539e+00 6.847963658830531486e-01 6.847078785487703545e-01 2.993316813578420499e-01 2.992930026149787093e-01 1.082573892795089289e-02 1.082434005840791393e-02
7.149999999999992362e+00 6.847991541053154441e-01 6.846919632776480302e-01 2.993331481189086540e-01 2.992862938438956011e-01 1.079650669500121889e-02 1.079481673016756578e-02
7.199999999999992184e+00 6.847968307068187377e-01 6.849255932780625722e-01 2.993317329359188594e-01 2.993880163792109750e-01 1.076732852287478302e-02 1.076935310716586706e-02
7.249999999999992006e+00 6.847970804667400380e-01 6.847167383549975783e-01 2.993318804536055922e-01 2.992967620863206113e-01 1.073836342434460016e-02 1.073710357260343473e-02
7.299999999999991829e+00 6.847994191033728306e-01 6.849757281966926126e-01 2.993332774185764045e-01 2.994103440416924222e-01 1.070959847651436515e-02 1.071235577966699569e-02
7.349999999999991651e+00 6.847971238663124183e-01 6.849178292539784829e-01 2.993322678495990985e-01 2.993850294868380946e-01 1.068090161818373643e-02 1.068278428142152396e-02
7.399999999999991473e+00 6.847987517984341910e-01 6.846399294559232240e-01 2.993328843361879876e-01 2.992634613856408610e-01 1.065241581267573415e-02 1.064994524504060507e-02
7.449999999999991296e+00 6.847996907077559259e-01 6.850649108640377571e-01 2.993334031049141863e-01 2.994493337237931208e-01 1.062407819360831722e-02 1.062819285621271516e-02
7.499999999999991118e+00 6.847977918124573682e-01 6.848168933573237638e-01 2.993326310278059399e-01 2.993409805227223996e-01 1.059584534611703044e-02 1.059614090345920544e-02
7.549999999999990941e+00 6.848001469841983324e-01 6.845847426414136683e-01 2.993337494623420358e-01 2.992395938318852533e-01 1.056782875418683758e-02 1.056450463660672280e-02
7.599999999999990763e+00 6.847994684459312031e-01 6.850029184905467305e-01 2.993335916871104896e-01 2.994225220023192247e-01 1.053991520025037570e-02 1.054304654937744321e-02
7.649999999999990585e+00 6.847981641740110703e-01 6.847716293093459861e-01 2.993329051946989061e-01 2.993213065097948267e-01 1.051213012097274892e-02 1.051172279226672383e-02
7.699999999999990408e+00 6.848000838392195311e-01 6.847381199343753888e-01 2.993337025022644315e-01 2.993066173930534202e-01 1.048454299482537953e-02 1.048359430448523796e-02
7.749999999999990230e+00 6.847989045405857844e-01 6.849268885431917253e-01 2.993335549808002760e-01 2.993894982748486200e-01 1.045706742291005811e-02 1.045902177379384387e-02
7.799999999999990052e+00 6.847992504232710553e-01 6.847030217472223068e-01 2.993337848063551965e-01 2.992917221233268865e-01 1.042974859952457665e-02 1.042828300081278907e-02
7.849999999999989875e+00 6.848002871144346360e-01 6.848775463649010575e-01 2.993338652956916146e-01 2.993676361782497963e-01 1.040256699550622978e-02 1.040374061436142271e-02
7.899999999999989697e+00 6.847992144445483875e-01 6.848264373421045770e-01 2.993335613072792833e-01 2.993454607468561957e-01 1.037551339020032805e-02 1.037592584911113842e-02
7.949999999999989519e+00 6.848008793453397303e-01 6.846227641933919639e-01 2.993348214829238962e-01 2.992569651763393734e-01 1.034865415671301810e-02 1.034596249529263871e-02
7.999999999999989342e+00 6.848010327112570295e-01 6.849430349641526528e-01 2.993346647106054359e-01 2.993967355818925036e-01 1.032188499002088290e-02 1.032402536489285087e-02
8.049999999999990052e+00 6.847998370655059563e-01 6.848207230435926496e-01 2.993337480567541675e-01 2.993428775538190534e-01 1.029522779214976126e-02 1.029554179032912166e-02
8.099999999999988987e+00 6.848011813730744413e-01 6.847183505989899999e-01 2.993348353165482534e-01 2.992986289886473417e-01 1.026877651171692607e-02 1.026753444214914199e-02
8.149999999999987921e+00 6.848013240850481242e-01 6.850029112075616267e-01 2.993353012445842953e-01 2.994234175199510517e-01 1.024243973463077884e-02 1.024545483387343837e-02
8.199999999999988631e+00 6.848006768791750076e-01 6.848149463825694561e-01 2.993345058640979328e-01 2.993407432334401763e-01 1.021619473938901318e-02 1.021640761888874954e-02
8.249999999999989342e+00 6.848008636039093489e-01 6.848196484942459250e-01 2.993344571247076313e-01 2.993426682197133371e-01 1.019010917871345651e-02 1.019038870535194860e-02
8.299999999999988276e+00 6.848016179846438956e-01 6.849445372498477180e-01 2.993354736174633768e-01 2.993979454411497265e-01 1.016419265254545241e-02 1.016631393688115226e-02
8.349999999999987210e+00 6.848019131234566181e-01 6.846835470271224189e-01 2.993356632918821036e-01 2.992839239592686162e-01 1.013837978973352455e-02 1.013662739912849463e-02
