# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.847393962618476548e-01 6.911542133616775940e-01 2.992727332431897036e-01 3.020763981954354138e-01 1.221521360176284522e-02 1.232964890593613895e-02
5.049999999999999822e+00 6.847338589655181940e-01 6.788412031702011351e-01 2.992705480335662305e-01 2.966950972855895152e-01 1.217784529129465644e-02 1.207304566777576797e-02
5.099999999999999645e+00 6.847528689703721305e-01 6.909465208458871466e-01 2.992787860668242317e-01 3.019857898613638181e-01 1.214112722380625807e-02 1.225094482196202247e-02
5.149999999999999467e+00 6.847243410508532246e-01 6.794945804727913208e-01 2.992660501079159596e-01 2.969803276684234161e-01 1.210378362418264818e-02 1.201133782278760061e-02
5.199999999999999289e+00 6.847639486945119591e-01 6.903514004951444294e-01 2.992830192372017972e-01 3.017250716377752884e-01 1.206786367891942921e-02 1.216633353378126364e-02
5.249999999999999112e+00 6.847151287217420057e-01 6.806002584196422234e-01 2.992613870475256954e-01 2.974629430779497374e-01 1.203060852452364667e-02 1.195830926946531668e-02
5.299999999999998934e+00 6.847746060913836308e-01 6.891887459654000292e-01 2.992872379878870337e-01 3.012164796963774371e-01 1.199548048047643402e-02 1.207280479744999788e-02
5.349999999999998757e+00 6.847071462885508941e-01 6.820479903407841160e-01 2.992578345626777381e-01 2.980956249158138727e-01 1.195835502747963006e-02 1.191191308354900592e-02
5.399999999999998579e+00 6.847844372544958924e-01 6.875735821803597991e-01 2.992919570100136539e-01 3.005109809799408893e-01 1.192398235099656131e-02 1.197254904302553526e-02
5.449999999999998401e+00 6.847028732920703575e-01 6.835272477272953395e-01 2.992569070596073910e-01 2.987430870011589246e-01 1.188706681468152705e-02 1.186665688187324603e-02
5.499999999999998224e+00 6.847911817637828413e-01 6.858472545718723445e-01 2.992963178056664564e-01 2.997578872756204715e-01 1.185331951705609864e-02 1.187159949606417936e-02
5.549999999999998046e+00 6.847042772857120374e-01 6.847654467002363132e-01 2.992592946828200873e-01 2.992860296054048463e-01 1.181675398550128923e-02 1.181780965865369785e-02
5.599999999999997868e+00 6.847930996724848063e-01 6.842977771909142248e-01 2.992991352877365507e-01 2.990826471389897989e-01 1.178343052313923431e-02 1.177490736767676516e-02
5.649999999999997691e+00 6.847108737072469253e-01 6.857522032922459543e-01 2.992641832508461386e-01 2.997193135251214891e-01 1.174736735037668935e-02 1.176523311187915692e-02
5.699999999999997513e+00 6.847905108814132946e-01 6.829871451745764821e-01 2.992998616773592246e-01 2.985116686489318605e-01 1.171428030048372870e-02 1.168343125827522172e-02
5.749999999999997335e+00 6.847200979551902877e-01 6.866929561878750699e-01 2.992697836562143721e-01 3.001320584138024161e-01 1.167882082560836934e-02 1.171247057224595114e-02
5.799999999999997158e+00 6.847850603048942775e-01 6.818460651407806106e-01 2.992986691692205437e-01 2.980141239997883273e-01 1.164586261358835015e-02 1.159588031127581180e-02
5.849999999999996980e+00 6.847296306073292760e-01 6.877347835079872240e-01 2.992747330365153058e-01 3.005881950102298195e-01 1.161104686853599646e-02 1.166200562600309791e-02
5.899999999999996803e+00 6.847779205588310214e-01 6.808887487477137679e-01 2.992959623459684471e-01 2.975961215873949017e-01 1.157818036154617015e-02 1.151242249854526022e-02
5.949999999999996625e+00 6.847392141954138367e-01 6.887576059514880500e-01 2.992790621267723550e-01 3.010353811619380648e-01 1.154403325464888747e-02 1.161177940836791329e-02
5.999999999999996447e+00 6.847691429264195495e-01 6.802788508624081354e-01 2.992921316641343754e-01 2.973295591716164088e-01 1.151123583323594018e-02 1.143575227583140327e-02
6.049999999999996270e+00 6.847501297971827494e-01 6.894483964209243698e-01 2.992838651649332160e-01 3.013373374222444445e-01 1.147780882703483205e-02 1.155656135847533961e-02
6.099999999999996092e+00 6.847587713255586239e-01 6.801764589129773997e-01 2.992878165185091088e-01 2.972850232225396905e-01 1.144504078464662206e-02 1.136845213088106057e-02
6.149999999999995914e+00 6.847630613584934078e-01 6.895699530278925904e-01 2.992900559430403673e-01 3.013910087511437741e-01 1.141239488819982550e-02 1.149250748336106201e-02
6.199999999999995737e+00 6.847481587153083638e-01 6.805569404408134959e-01 2.992841287027766528e-01 2.974522652745656970e-01 1.137962466550481930e-02 1.130997206367170306e-02
