# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.830189293844591836e-01 6.814610143478675441e-01 2.979954262735891035e-01 2.973157210187939992e-01 1.216307862341180039e-02 1.213533555178751035e-02
5.049999999999999822e+00 6.830213563336088312e-01 6.833022066413323437e-01 2.979656837671758041e-01 2.980882037340861768e-01 1.212474806784031613e-02 1.212973362091906981e-02
5.099999999999999645e+00 6.829692308366432929e-01 6.850241182114772398e-01 2.978934266292492250e-01 2.987897150911417166e-01 1.208492602958414694e-02 1.212128661627349772e-02
5.149999999999999467e+00 6.829731921126406258e-01 6.854393256871451623e-01 2.978910201779143563e-01 2.989666686146146279e-01 1.204817068464770005e-02 1.209167517147076432e-02
5.199999999999999289e+00 6.830739487991090986e-01 6.866776884331216024e-01 2.979875991646288025e-01 2.995597125843276753e-01 1.201562899857374321e-02 1.207902066872289237e-02
5.249999999999999112e+00 6.831305890763349487e-01 6.882662461172569524e-01 2.980727110879323183e-01 3.003135699250036872e-01 1.198282255629878716e-02 1.207290733366848945e-02
5.299999999999998934e+00 6.830707258107705515e-01 6.878950404293456833e-01 2.980630112445625812e-01 3.001681369483422124e-01 1.194641327633517471e-02 1.203078705203776411e-02
5.349999999999998757e+00 6.830226864388136976e-01 6.863967574620101209e-01 2.980142926704738571e-01 2.994864566400785577e-01 1.190866304377517955e-02 1.196749077482831512e-02
5.399999999999998579e+00 6.830521071825231827e-01 6.856870847809272140e-01 2.979995617249884265e-01 2.991491404485187022e-01 1.187249249900352438e-02 1.191829244814815621e-02
5.449999999999998401e+00 6.830789728828920992e-01 6.852012812906952410e-01 2.980202140506535979e-01 2.989461550195369188e-01 1.183794296129706512e-02 1.187472313880980936e-02
5.499999999999998224e+00 6.831158585639097724e-01 6.840888522118606652e-01 2.980746221021552955e-01 2.984991836319234038e-01 1.180493552879823167e-02 1.182174984680884992e-02
5.549999999999998046e+00 6.832404410877340739e-01 6.828460241735158087e-01 2.981624990225537619e-01 2.979903775763863560e-01 1.177344517364477088e-02 1.176664867034102335e-02
5.599999999999997868e+00 6.833707484809671273e-01 6.819148982311088458e-01 2.982273959528006779e-01 2.975920535272175149e-01 1.174123606113388479e-02 1.171622257981171436e-02
5.649999999999997691e+00 6.833932887491509511e-01 6.821461397353822953e-01 2.982290611531865920e-01 2.976848122036905853e-01 1.170673449080222167e-02 1.168537044960512618e-02
