# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.846782404963897006e-01 6.842357234170245439e-01 2.992410392529043506e-01 2.990476356030082883e-01 1.221391996950630006e-02 1.220602594297993081e-02
5.049999999999999822e+00 6.846797208768045095e-01 6.853699153231879171e-01 2.992416465734977216e-01 2.995432984499797335e-01 1.217666924002025128e-02 1.218894398575705827e-02
5.099999999999999645e+00 6.846730692543818719e-01 6.848496427346656423e-01 2.992340513726208240e-01 2.993112222155280833e-01 1.213931242890956691e-02 1.214244309190783307e-02
5.149999999999999467e+00 6.846880629569641608e-01 6.839415040699297066e-01 2.992491723274737225e-01 2.989228819463124465e-01 1.210310100414454040e-02 1.208990422432001943e-02
5.199999999999999289e+00 6.846868154067135004e-01 6.852092060795565986e-01 2.992447017120896113e-01 2.994730143326258531e-01 1.206631861742296988e-02 1.207552477147685009e-02
5.249999999999999112e+00 6.846788781992929618e-01 6.849148458171687714e-01 2.992409000523306162e-01 2.993440303877399344e-01 1.202978492672685841e-02 1.203393086985889149e-02
5.299999999999998934e+00 6.846914754323194519e-01 6.839990918105199880e-01 2.992526855400925445e-01 2.989500709090039399e-01 1.199409561282936167e-02 1.198196676989995817e-02
5.349999999999998757e+00 6.846923992728001229e-01 6.851476280380007777e-01 2.992480858419418466e-01 2.994470457497064864e-01 1.195796546820946521e-02 1.196591591407418671e-02
5.399999999999998579e+00 6.846844959306881417e-01 6.851189313166229367e-01 2.992476795058031103e-01 2.994375535016491341e-01 1.192221830700410969e-02 1.192978300803383164e-02
5.449999999999998401e+00 6.846915730784975951e-01 6.842597433486141689e-01 2.992534478370603157e-01 2.990647109800180781e-01 1.188692940762901135e-02 1.187943241231452333e-02
5.499999999999998224e+00 6.846986574373137291e-01 6.849636289889179386e-01 2.992531748461975116e-01 2.993689828402693598e-01 1.185161088499792244e-02 1.185619734020868996e-02
5.549999999999998046e+00 6.846915729396606531e-01 6.852928418016064338e-01 2.992539877953740435e-01 2.995167807254840442e-01 1.181654443417074450e-02 1.182692125273382411e-02
5.599999999999997868e+00 6.846931126326302186e-01 6.844525599957689277e-01 2.992546669386313418e-01 2.991495300562865278e-01 1.178167980073351745e-02 1.177754055339710719e-02
5.649999999999997691e+00 6.847066215344240758e-01 6.845614005043194616e-01 2.992598640903771923e-01 2.991963933653025709e-01 1.174719780531412010e-02 1.174470631463405725e-02
