# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 3.304163339871186295e-02 3.304163339871138416e-02 7.609688913292944612e-03 7.609688913292833590e-03 3.105995474813446548e-04 3.105995474813401554e-04
5.049999999999999822e+00 5.132616329251409037e-02 5.132616329251313975e-02 1.197965909123999140e-02 1.197965909123976935e-02 4.874734116476089440e-04 4.874734116475998909e-04
5.099999999999999645e+00 6.989545893088321138e-02 6.989545893088228157e-02 1.653183774086597335e-02 1.653183774086575131e-02 6.706627886761043879e-04 6.706627886760953890e-04
5.149999999999999467e+00 8.863994037107679469e-02 8.863994037107447710e-02 2.124326211634541828e-02 2.124326211634486317e-02 8.591814809442030682e-04 8.591814809441806252e-04
5.199999999999999289e+00 1.074466107828824651e-01 1.074466107828811051e-01 2.608821096842672826e-02 2.608821096842639520e-02 1.051943990662368173e-03 1.051943990662354729e-03
5.249999999999999112e+00 1.262011236028522665e-01 1.262011236028509065e-01 3.103862834895343426e-02 3.103862834895310119e-02 1.247784054229283870e-03 1.247784054229270426e-03
5.299999999999998934e+00 1.447897518602878908e-01 1.447897518602856426e-01 3.606458661459832626e-02 3.606458661459777115e-02 1.445474413410754609e-03 1.445474413410732274e-03
5.349999999999998757e+00 1.631011712594872265e-01 1.631011712594867824e-01 4.113476458717091333e-02 4.113476458717080231e-02 1.643746836650186380e-03 1.643746836650182043e-03
5.399999999999998579e+00 1.810281355087303701e-01 1.810281355087286215e-01 4.621695592680563625e-02 4.621695592680519216e-02 1.841312985131698769e-03 1.841312985131681205e-03
5.449999999999998401e+00 1.984688914489084466e-01 1.984688914489067257e-01 5.127856387812546046e-02 5.127856387812501637e-02 2.036884364573007724e-03 2.036884364572989943e-03
5.499999999999998224e+00 2.153285919732587372e-01 2.153285919732574605e-01 5.628714109284482792e-02 5.628714109284449485e-02 2.229193706647320059e-03 2.229193706647307049e-03
5.549999999999998046e+00 2.315203166980324967e-01 2.315203166980303873e-01 6.121086736040926013e-02 6.121086736040870502e-02 2.417013518673614015e-03 2.417013518673591897e-03
5.599999999999997868e+00 2.469660559016000623e-01 2.469660559015984247e-01 6.601904742472453069e-02 6.601904742472408660e-02 2.599175095461595669e-03 2.599175095461578322e-03
5.649999999999997691e+00 2.615974870600893953e-01 2.615974870600865088e-01 7.068257702919300556e-02 7.068257702919222840e-02 2.774585948152817096e-03 2.774585948152786304e-03
5.699999999999997513e+00 2.753565575536205956e-01 2.753565575536189858e-01 7.517437146781391633e-02 7.517437146781347224e-02 2.942245458622854120e-03 2.942245458622836773e-03
5.749999999999997335e+00 2.881959582185734670e-01 2.881959582185726898e-01 7.946977098330698652e-02 7.946977098330676448e-02 3.101259355446127266e-03 3.101259355446118592e-03
5.799999999999997158e+00 3.000793378125272137e-01 3.000793378125264366e-01 8.354687419572015550e-02 8.354687419571993345e-02 3.250851136020240124e-03 3.250851136020231451e-03
5.849999999999996980e+00 3.109814912939202758e-01 3.109814912939206644e-01 8.738685560636694216e-02 8.738685560636705318e-02 3.390372671440036820e-03 3.390372671440041157e-03
5.899999999999996803e+00 3.208883573697485780e-01 3.208883573697470237e-01 9.097421606990818699e-02 9.097421606990774290e-02 3.519312033652154982e-03 3.519312033652137635e-03
5.949999999999996625e+00 3.297968352743599896e-01 3.297968352743592124e-01 9.429696233128415095e-02 9.429696233128392890e-02 3.637298450579910369e-03 3.637298450579901695e-03
5.999999999999996447e+00 3.377145417600043165e-01 3.377145417600043165e-01 9.734674487952987842e-02 9.734674487952987842e-02 3.744105572289611709e-03 3.744105572289611709e-03
6.049999999999996270e+00 3.446594182975975529e-01 3.446594182975975529e-01 1.001189252839911337e-01 1.001189252839911337e-01 3.839651976375499463e-03 3.839651976375499463e-03
6.099999999999996092e+00 3.506593178400957966e-01 3.506593178400950195e-01 1.026126075969677753e-01 1.026126075969675533e-01 3.924000290515020431e-03 3.924000290515012625e-03
6.149999999999995914e+00 3.557513664387829677e-01 3.557513664387814689e-01 1.048305731083520875e-01 1.048305731083516434e-01 3.997352644741739187e-03 3.997352644741721840e-03
6.199999999999995737e+00 3.599810829327704798e-01 3.599810829327693695e-01 1.067791109499780511e-01 1.067791109499777180e-01 4.060042241444032987e-03 4.060042241444020844e-03
6.249999999999995559e+00 3.634021498156544960e-01 3.634021498156541630e-01 1.084680095606099792e-01 1.084680095606098682e-01 4.112531168174787463e-03 4.112531168174783126e-03
6.299999999999995381e+00 3.660750261221380475e-01 3.660750261221369373e-01 1.099101764096022116e-01 1.099101764096018785e-01 4.155394193179669064e-03 4.155394193179656054e-03
6.349999999999995204e+00 3.680663414647565301e-01 3.680663414647558085e-01 1.111214596225130746e-01 1.111214596225128526e-01 4.189310447597101653e-03 4.189310447597092979e-03
6.399999999999995026e+00 3.694478264695267855e-01 3.694478264695249536e-01 1.121203066764618894e-01 1.121203066764613343e-01 4.215049123175260148e-03 4.215049123175239332e-03
