# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.838404698724848130e-01 7.051176776236882660e-01 2.977183090970545454e-01 3.069816016237110201e-01 1.215176771824712405e-02 1.252986129076371496e-02
5.049999999999999822e+00 6.834283769732232283e-01 7.172506522629797932e-01 2.976723752326966288e-01 3.124039218884926417e-01 1.211281282737320872e-02 1.271226538712075770e-02
5.099999999999999645e+00 6.828863413294526952e-01 7.171443043184441146e-01 2.975220514585126264e-01 3.124476676414803533e-01 1.206986009973682120e-02 1.267536177044545180e-02
5.149999999999999467e+00 6.822556125036178809e-01 7.098145126279523653e-01 2.972093419859795915e-01 3.092147581697377579e-01 1.202060028254720372e-02 1.250615806551012323e-02
5.199999999999999289e+00 6.816848268337890593e-01 6.951657144478494699e-01 2.968801960937152984e-01 3.027512502830370655e-01 1.197097564894013429e-02 1.220771170496117407e-02
5.249999999999999112e+00 6.816777343065240080e-01 6.776657544609185901e-01 2.968729047902173290e-01 2.951256743163683804e-01 1.193458913729516895e-02 1.186434871623591458e-02
5.299999999999998934e+00 6.822874080659837581e-01 6.649640564216949823e-01 2.972201026911136523e-01 2.896736518936927629e-01 1.191262936637730099e-02 1.161016640856483984e-02
5.349999999999998757e+00 6.829590671007462754e-01 6.592314414974517200e-01 2.975892081443333170e-01 2.872502498456978026e-01 1.189167664912420957e-02 1.147853146236554704e-02
5.399999999999998579e+00 6.834941087201523713e-01 6.622642398337982295e-01 2.978288395286193824e-01 2.885780396561710148e-01 1.186569081787328291e-02 1.149713305403071879e-02
5.449999999999998401e+00 6.839887590918298788e-01 6.753168498285302412e-01 2.980103424000069001e-01 2.942320366684199051e-01 1.183755084011944153e-02 1.168746918245958111e-02
5.499999999999998224e+00 6.841601690023888516e-01 6.925995316502431276e-01 2.980744677056338388e-01 3.017513238615571192e-01 1.180492941408451020e-02 1.195054747966563073e-02
5.549999999999998046e+00 6.838355691624745658e-01 7.069402592515684480e-01 2.979619310977374980e-01 3.080291437242943520e-01 1.176552541353356567e-02 1.216304614903433029e-02
5.599999999999997868e+00 6.833382881443578194e-01 7.136239730065967457e-01 2.977831970878921375e-01 3.109810058756365958e-01 1.172374791684614725e-02 1.224334668801718880e-02
5.649999999999997691e+00 6.828581994430819035e-01 7.086301153037690703e-01 2.975995864950985448e-01 3.088313642047052499e-01 1.168202498508728523e-02 1.212291910518960812e-02
5.699999999999997513e+00 6.823947317403583623e-01 6.958011425035124375e-01 2.974155773811533177e-01 3.032586403654811136e-01 1.164053140435042551e-02 1.186922271489163072e-02
5.749999999999997335e+00 6.821918714152165331e-01 6.845462917324609542e-01 2.973392061602545544e-01 2.983654005454863256e-01 1.160348121600993619e-02 1.164352782616532266e-02
5.799999999999997158e+00 6.824170666369705485e-01 6.751349894521248007e-01 2.974335585818523864e-01 2.942596430442027122e-01 1.157329021719270129e-02 1.144979155814018594e-02
5.849999999999996980e+00 6.829004102644004037e-01 6.652502702470614038e-01 2.976329162316264654e-01 2.899403411997514279e-01 1.154734883536863085e-02 1.124889781570325743e-02
5.899999999999996803e+00 6.834853602648653936e-01 6.627766665377712307e-01 2.979027012743677982e-01 2.888766472287124243e-01 1.152428244775117495e-02 1.117511207848017295e-02
