# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.691980420295343679e-01 7.001780731548747916e-01 2.883007240070475374e-01 3.016473939645820668e-01 1.176737649008357221e-02 1.231213852916661529e-02
5.049999999999999822e+00 6.695041344463408262e-01 7.007166154265781488e-01 2.885738651783262831e-01 3.020272642162884491e-01 1.174257844062365219e-02 1.229002092436575454e-02
5.099999999999999645e+00 6.696727891431972779e-01 6.999958712665932392e-01 2.887149871409847579e-01 3.017881303345918420e-01 1.171257554324481830e-02 1.224292617990230606e-02
5.149999999999999467e+00 6.697501071068362455e-01 6.983409306099607194e-01 2.887503801148150195e-01 3.010767852422215896e-01 1.167847846773771743e-02 1.217701861444779078e-02
5.199999999999999289e+00 6.698075714868427788e-01 6.963547684177637809e-01 2.887271587825670505e-01 3.001705898063333766e-01 1.164222414445834942e-02 1.210365281477150841e-02
5.249999999999999112e+00 6.699100409996484595e-01 6.946265010057393052e-01 2.886957976803601333e-01 2.993472847466613906e-01 1.160586121328080998e-02 1.203406169835824664e-02
5.299999999999998934e+00 6.700894628296441002e-01 6.934789191668896402e-01 2.886942516349391141e-01 2.987711174386711299e-01 1.157091188917591662e-02 1.197479428611908370e-02
5.349999999999998757e+00 6.703366421374952200e-01 6.928705197396038962e-01 2.887399850118316236e-01 2.984461998777597769e-01 1.153806133913413100e-02 1.192592207303735420e-02
5.399999999999998579e+00 6.706137718575382323e-01 6.924844287404052778e-01 2.888319375747595563e-01 2.982515833807409811e-01 1.150724850895456543e-02 1.188253320241995994e-02
5.449999999999998401e+00 6.708799134087870542e-01 6.919381309319707629e-01 2.889596544383108423e-01 2.980297952145755103e-01 1.147803989824472230e-02 1.183832354377658581e-02
5.499999999999998224e+00 6.711154611206482379e-01 6.909956567983412956e-01 2.891138085751743247e-01 2.976781159418977474e-01 1.145005182475938160e-02 1.178923231453060487e-02
5.549999999999998046e+00 6.713329916611827652e-01 6.896710134498210687e-01 2.892925302283639866e-01 2.971947974914266322e-01 1.142319961415060384e-02 1.173523385948377872e-02
5.599999999999997868e+00 6.715697552629400491e-01 6.881792727161182288e-01 2.895009662707372922e-01 2.966610137777949685e-01 1.139767583743060350e-02 1.167956747156673192e-02
5.649999999999997691e+00 6.718667915023772697e-01 6.867792150565311671e-01 2.897454253106046540e-01 2.961764717021793114e-01 1.137371640080881915e-02 1.162616179400115073e-02
5.699999999999997513e+00 6.722464284141647095e-01 6.856059590611530696e-01 2.900263733725838566e-01 2.957900577295928812e-01 1.135132576800719668e-02 1.157691028295862630e-02
5.749999999999997335e+00 6.726999765828539646e-01 6.845931068963092558e-01 2.903347646843117413e-01 2.954677947290832440e-01 1.133013715841216934e-02 1.153045052601300857e-02
5.799999999999997158e+00 6.731914813393078401e-01 6.835289320006593394e-01 2.906539587061851559e-01 2.951172073374275229e-01 1.130949255666090225e-02 1.148315981857694901e-02
5.849999999999996980e+00 6.736746265927299193e-01 6.822136031794994171e-01 2.909660465905774540e-01 2.946541063174934472e-01 1.128869239924645829e-02 1.143177910058170571e-02
5.899999999999996803e+00 6.741131592278661877e-01 6.806267170072096695e-01 2.912588122433998894e-01 2.940730743243586964e-01 1.126726546396131408e-02 1.137613440326339445e-02
5.949999999999996625e+00 6.744938288902755374e-01 6.790067790779920065e-01 2.915291602059755238e-01 2.934797437723826175e-01 1.124509779000870159e-02 1.132033727183732671e-02
5.999999999999996447e+00 6.748254611512705115e-01 6.777899866450974864e-01 2.917808924558834560e-01 2.930626933719623350e-01 1.122234201753398268e-02 1.127164205276778505e-02
6.049999999999996270e+00 6.751255182409811040e-01 6.774308873422775212e-01 2.920179464930141577e-01 2.930151079580748386e-01 1.119915422792000861e-02 1.123739627835378292e-02
6.099999999999996092e+00 6.754025345148491066e-01 6.781906064218127250e-01 2.922370027500809098e-01 2.934433615300757747e-01 1.117541119503177686e-02 1.122154346195318626e-02
6.149999999999995914e+00 6.756448031781402408e-01 6.799982655321529235e-01 2.924239246855167007e-01 2.943081344678502020e-01 1.115057863433810414e-02 1.122242648113823751e-02
6.199999999999995737e+00 6.758222449673521037e-01 6.824551638673548304e-01 2.925567174248970836e-01 2.954280419407453451e-01 1.112382955988202096e-02 1.123300539698651734e-02
6.249999999999995559e+00 6.759010326581718076e-01 6.849813967234851253e-01 2.926142937700405566e-01 2.965454082228428101e-01 1.109438080644703853e-02 1.124342779991821355e-02
6.299999999999995381e+00 6.758635193893025583e-01 6.870356932073927725e-01 2.925871936579180765e-01 2.974237248372413323e-01 1.106189768082866363e-02 1.124475330197510087e-02
6.349999999999995204e+00 6.757229000282370945e-01 6.883056899859985034e-01 2.924851097981595593e-01 2.979315416154166840e-01 1.102677134017567007e-02 1.123210335967641041e-02
6.399999999999995026e+00 6.755244419589953031e-01 6.887855676788962045e-01 2.923373249488835368e-01 2.980761580361428464e-01 1.099012499807833047e-02 1.120587060286251484e-02
6.449999999999994849e+00 6.753317800388037861e-01 6.887152989487580479e-01 2.921853765325821417e-01 2.979758170651026772e-01 1.095352864227112401e-02 1.117060232671425457e-02
6.499999999999994671e+00 6.752041963741632902e-01 6.884241411156019064e-01 2.920708094952664258e-01 2.977893165526115382e-01 1.091853493440248651e-02 1.113231089916305074e-02
6.549999999999994493e+00 6.751753182540881637e-01 6.881630237075528900e-01 2.920230601143356530e-01 2.976404299853075974e-01 1.088622777686247024e-02 1.109563578696394145e-02
6.599999999999994316e+00 6.752428957712707236e-01 6.880098098131643969e-01 2.920522632482260850e-01 2.975741371753434228e-01 1.085696145904186533e-02 1.106223558272652514e-02
6.649999999999994138e+00 6.753739288429380094e-01 6.878853662716420958e-01 2.921493959686226605e-01 2.975615220981540077e-01 1.083037612487943412e-02 1.103101101383333060e-02
6.699999999999993960e+00 6.755218897396456645e-01 6.876582971103722963e-01 2.922927752004946811e-01 2.975440990217266268e-01 1.080564788171884533e-02 1.099978184923204247e-02
6.749999999999993783e+00 6.756473536147901138e-01 6.872700253324733888e-01 2.924573552749496486e-01 2.974882871858005595e-01 1.078183798248662749e-02 1.096731012666546205e-02
6.799999999999993605e+00 6.757323567595781011e-01 6.868052012394042505e-01 2.926225648106134392e-01 2.974176055083442849e-01 1.075818252980196947e-02 1.093447079074795665e-02
6.849999999999993427e+00 6.757826748300783670e-01 6.864674700232135107e-01 2.927758055002589455e-01 2.974048817340674278e-01 1.073421835014698629e-02 1.090393700216562949e-02
6.899999999999993250e+00 6.758187670199400365e-01 6.864750790140251580e-01 2.929113686354927193e-01 2.975299958224204566e-01 1.070973925541107187e-02 1.087861045054554221e-02
6.949999999999993072e+00 6.758615735254472900e-01 6.869360661988980210e-01 2.930268266627762408e-01 2.978282883409038018e-01 1.068466095397543718e-02 1.085973704068929520e-02
6.999999999999992895e+00 6.759213260220439112e-01 6.877740079560576980e-01 2.931199227023462139e-01 2.982599546536391921e-01 1.065890628008532050e-02 1.084581653285961178e-02
7.049999999999992717e+00 6.759949479271727402e-01 6.887473768574431388e-01 2.931880839384386483e-01 2.987189835628983881e-01 1.063238745017003675e-02 1.083296404579867610e-02
7.099999999999992539e+00 6.760723742167141781e-01 6.895561498863880256e-01 2.932306623993909955e-01 2.990789363742655249e-01 1.060508724771758171e-02 1.081659806055210345e-02
7.149999999999992362e+00 6.761470955474302436e-01 6.899807351805612443e-01 2.932520807092615645e-01 2.992518751813701972e-01 1.057717153144316358e-02 1.079357529959856961e-02
7.199999999999992184e+00 6.762239859062709746e-01 6.899828158132237377e-01 2.932632565913624312e-01 2.992301541718911384e-01 1.054903800688354425e-02 1.076367461049968464e-02
7.249999999999992006e+00 6.763192983160667415e-01 6.897152935694097486e-01 2.932795807932595533e-01 2.990886296877550699e-01 1.052124056657433721e-02 1.072963693947103815e-02
7.299999999999991829e+00 6.764523712807556377e-01 6.894365808545250829e-01 2.933157176158138757e-01 2.989457854675882098e-01 1.049430116693431114e-02 1.069573472155951020e-02
