# tau eta eta_joint W_out W_out_joint power power_joint
5.000000000000000000e+00 6.659782346672578068e-01 7.396780657690730232e-01 2.724041551961806640e-01 3.025494950651657078e-01 1.111853694678288478e-02 1.234895898225166211e-02
5.049999999999999822e+00 6.666984154404048679e-01 7.632811508353016805e-01 2.725063785114231196e-01 3.119836156544039119e-01 1.108876413067845686e-02 1.269516238675092064e-02
5.099999999999999645e+00 6.670136117272241760e-01 7.864451953270588103e-01 2.725702919329725527e-01 3.213751454404252805e-01 1.105761833399483002e-02 1.303753125518966778e-02
5.149999999999999467e+00 6.668777025578851436e-01 8.077204988893854631e-01 2.725877812437913494e-01 3.301575953325183721e-01 1.102478387234747705e-02 1.335318889110286705e-02
5.199999999999999289e+00 6.662669263115953422e-01 8.258529440946612565e-01 2.725452888093006232e-01 3.378260578058854824e-01 1.098972938747180134e-02 1.362201845991473960e-02
5.249999999999999112e+00 6.652049064974988601e-01 8.400192814467017932e-01 2.724360792755994298e-01 3.440316770334979068e-01 1.095220419198389590e-02 1.383041917722604638e-02
5.299999999999998934e+00 6.637700971452679122e-01 8.499206500922412699e-01 2.722669077510707636e-01 3.486226153145773332e-01 1.091250131266816720e-02 1.397285031320951235e-02
5.349999999999998757e+00 6.620835490929534162e-01 8.557211972004471479e-01 2.720575531950442105e-01 3.516254337483966097e-01 1.087143069710466356e-02 1.405096638355231298e-02
5.399999999999998579e+00 6.602820841472073488e-01 8.578680260497887344e-01 2.718344425349816795e-01 3.531794701517887436e-01 1.083005747151321446e-02 1.407089522517086799e-02
5.449999999999998401e+00 6.584869397243509059e-01 8.568656395205810350e-01 2.716216814528535917e-01 3.534516354769064450e-01 1.078934186505873388e-02 1.403978691070134968e-02
5.499999999999998224e+00 6.567787822844636247e-01 8.530879561101885056e-01 2.714334156801730957e-01 3.525640353319367537e-01 1.074983824475933200e-02 1.396293209235393261e-02
5.549999999999998046e+00 6.551874026956174824e-01 8.466897277007132683e-01 2.712707251851531609e-01 3.505594513801977286e-01 1.071157848707416337e-02 1.384242651057049529e-02
5.599999999999997868e+00 6.536988687136972009e-01 8.376403312803980539e-01 2.711242679067947803e-01 3.474147385851891201e-01 1.067418377585806211e-02 1.367774561359012299e-02
5.649999999999997691e+00 6.522768641138004808e-01 8.258578962820827263e-01 2.709815891979757696e-01 3.430940103789601459e-01 1.063715757401278821e-02 1.346787086865398192e-02
5.699999999999997513e+00 6.508901558610364901e-01 8.113867446521516591e-01 2.708361429932563125e-01 3.376189583121604887e-01 1.060024043026443555e-02 1.321404924900823966e-02
5.749999999999997335e+00 6.495361748604026042e-01 7.945469004910515887e-01 2.706943185623343906e-01 3.311275647433565839e-01 1.056368072438378450e-02 1.292205130705782225e-02
5.799999999999997158e+00 6.482524621942187260e-01 7.759951427774792743e-01 2.705775142024154922e-01 3.238967053903329951e-01 1.052830794561928143e-02 1.260298464553825069e-02
5.849999999999996980e+00 6.471119241902372199e-01 7.566689008838740627e-01 2.705179977221294774e-01 3.163170826466408236e-01 1.049536363616409250e-02 1.227224374962719057e-02
5.899999999999996803e+00 6.462037096421981985e-01 7.376260007294154208e-01 2.705496245862764049e-01 3.088258928332650033e-01 1.046613634763158412e-02 1.194684304964274864e-02
5.949999999999996625e+00 6.456066369616630940e-01 7.198301548224339541e-01 2.706964631022941159e-01 3.018176483777077479e-01 1.044152220259572487e-02 1.164195365005623282e-02
5.999999999999996447e+00 6.453646044992795705e-01 7.039514857970313733e-01 2.709632722747525868e-01 2.955616046873710268e-01 1.042166431825971781e-02 1.136775402643734958e-02
6.049999999999996270e+00 6.454727329221501275e-01 6.902467217137211453e-01 2.713313761117527312e-01 2.901526018168738563e-01 1.040580541176424831e-02 1.112761656057042851e-02
6.099999999999996092e+00 6.458791951353488603e-01 6.785568790615900125e-01 2.717618025268437876e-01 2.855113494283146869e-01 1.039242074672442999e-02 1.091821603932370023e-02
6.149999999999995914e+00 6.465023018730251536e-01 6.684218878365473238e-01 2.722052070612890340e-01 2.814342932046979273e-01 1.037960751425315818e-02 1.073152690961670132e-02
6.199999999999995737e+00 6.472572626364221371e-01 6.592740342061733649e-01 2.726158423289670729e-01 2.776771409696633386e-01 1.036562138132954974e-02 1.055806619656514921e-02
6.249999999999995559e+00 6.480838681722306260e-01 6.506484773234196828e-01 2.729654304475273019e-01 2.740456141633452747e-01 1.034940020654132216e-02 1.039035503936854357e-02
6.299999999999995381e+00 6.489660640611530917e-01 6.423464838710598590e-01 2.732526996920221496e-01 2.704654689600306527e-01 1.033091492219365658e-02 1.022553757882913895e-02
6.349999999999995204e+00 6.499370027168510644e-01 6.345031136484214906e-01 2.735055988530539217e-01 2.670107308048479400e-01 1.031123841104821838e-02 1.006638004919313892e-02
6.399999999999995026e+00 6.510677706647323149e-01 6.275440323849826862e-01 2.737753909771507566e-01 2.638836086851057416e-01 1.029230793147183597e-02 9.920436416733300136e-03
6.449999999999994849e+00 6.524431305425433258e-01 6.220497010094628854e-01 2.741242503129659447e-01 2.613544383628156886e-01 1.027644799673724414e-02 9.797729648090561932e-03
6.499999999999994671e+00 6.541316974107195259e-01 6.185753334235580825e-01 2.746098721533016818e-01 2.596830178097490061e-01 1.026578961320754289e-02 9.707776366719591751e-03
6.549999999999994493e+00 6.561596763321205783e-01 6.174857967076980980e-01 2.752713625722694735e-01 2.590469404930586528e-01 1.026174697380315311e-02 9.656922292378704656e-03
6.599999999999994316e+00 6.584961623730352098e-01 6.188582678732649223e-01 2.761201431965403241e-01 2.594992094224635171e-01 1.026468933816135354e-02 9.646810759199389573e-03
6.649999999999994138e+00 6.610542515304682620e-01 6.224804204553003872e-01 2.771379494782194586e-01 2.609663986214763032e-01 1.027388135229729410e-02 9.674379930360570146e-03
6.699999999999993960e+00 6.637071992413267063e-01 6.279387313951201310e-01 2.782818463016434318e-01 2.632846980365631806e-01 1.028768378194615599e-02 9.733260555880342280e-03
6.749999999999993783e+00 6.663140788248386182e-01 6.347608614728221799e-01 2.794941501590841870e-01 2.662587406895132736e-01 1.030393180309988228e-02 9.815990440166391315e-03
6.799999999999993605e+00 6.687468250914393453e-01 6.425590385485278055e-01 2.807140122287099526e-01 2.697213938624926088e-01 1.032036809664375193e-02 9.916227715532820175e-03
6.849999999999993427e+00 6.709105359717636441e-01 6.511236571973447740e-01 2.818872762141481081e-01 2.735736947998665958e-01 1.033500554405676272e-02 1.003019962602627602e-02
6.899999999999993250e+00 6.727517670575214881e-01 6.604364664998185752e-01 2.829722252895827683e-01 2.777921749730070111e-01 1.034633364861363251e-02 1.015693509956150375e-02
6.949999999999993072e+00 6.742539789261818850e-01 6.706028351239224916e-01 2.839404905296861736e-01 2.824029281353803711e-01 1.035334514237689317e-02 1.029728088005033709e-02
6.999999999999992895e+00 6.754236704536071834e-01 6.817310914995282634e-01 2.847741151088722944e-01 2.874334685273939316e-01 1.035542236759535994e-02 1.045212612826887377e-02
7.049999999999992717e+00 6.762732777291941000e-01 6.938057775990723597e-01 2.854608498134068029e-01 2.928614709484222978e-01 1.035216137129308864e-02 1.062054291744052303e-02
7.099999999999992539e+00 6.768077106521278585e-01 7.066006057753481118e-01 2.859902100594251539e-01 2.985794229192467730e-01 1.034322640359585169e-02 1.079853247447547585e-02
