# tau_total W_out Q_meas
7.500000000000000000e+00 -2.988524105866652292e-01 -2.410761008742525889e-07
7.574999999999999289e+00 -2.994459490342330499e-01 -1.827807773298701699e+00
7.649999999999999467e+00 -2.989356975513217662e-01 -2.502864894586949917e-07
7.724999999999999645e+00 -2.994906329929295508e-01 -1.827819452477440487e+00
7.799999999999998934e+00 -2.990178931546523255e-01 -5.483408673712348858e+00
7.874999999999998224e+00 -2.994991173206429380e-01 -2.637261434887500588e-07
7.949999999999998401e+00 -2.990780783662536635e-01 -2.693670755886417483e-07
8.024999999999998579e+00 -2.994979601069829300e-01 -2.735527633977938582e-07
8.099999999999997868e+00 -2.991444464952230931e-01 -2.791896256237717550e-07
8.174999999999997158e+00 -2.994879979007721849e-01 -1.827783634823818337e+00
8.249999999999996447e+00 -2.992128288306510342e-01 -2.891491539057079946e-07
8.324999999999997513e+00 -2.994770257648582401e-01 -2.937268162812311525e-07
8.399999999999996803e+00 -2.992864522715201758e-01 -2.992224540015136049e-07
8.474999999999996092e+00 -2.995217962204939077e-01 -1.162700584040146312e+00
8.549999999999997158e+00 -2.994285418233428864e-01 -2.990509203546760197e+00
8.624999999999996447e+00 -2.994712670334713778e-01 -3.143516743873080816e-07
8.699999999999995737e+00 -2.994560684903646575e-01 -3.195885616017802612e-07
8.774999999999995026e+00 -2.994836084923413466e-01 -3.247572162671114862e-07
8.849999999999994316e+00 -2.995511446665246602e-01 -1.827807006693773717e+00
8.924999999999995381e+00 -2.995075870054648703e-01 -3.352190251741394558e-07
8.999999999999994671e+00 -2.996512695848672081e-01 -3.401850524800806210e-07
9.074999999999993960e+00 -2.995460150052524639e-01 -1.827801059999386357e+00
9.149999999999995026e+00 -2.997516371425987813e-01 -3.505837423083786250e-07
9.224999999999994316e+00 -2.995851512832352626e-01 -3.563325590944741708e-07
9.299999999999993605e+00 -2.998584257066684300e-01 -5.483374109823275333e+00
9.374999999999992895e+00 -2.996448965707853018e-01 -1.827798567518321704e+00
9.449999999999992184e+00 -2.999365480841424958e-01 -1.827808429018296099e+00
9.524999999999993250e+00 -2.996835132426163284e-01 -3.778424775742754600e-07
9.599999999999992539e+00 -3.000142506399718911e-01 -3.825252730370863087e-07
9.674999999999991829e+00 -2.997735958514107235e-01 -1.162699279124626894e+00
9.749999999999992895e+00 -3.000765739588011627e-01 -3.935275313165029079e-07
9.824999999999992184e+00 -2.997844883084495038e-01 -5.483420587706025806e+00
9.899999999999991473e+00 -3.001225609370621328e-01 -4.047512453306511540e-07
9.974999999999990763e+00 -2.998456671152822661e-01 -1.162696421833743221e+00
1.004999999999999005e+01 -3.001520362248975005e-01 -4.162083247339325035e-07
