# tau_total W_out Q_meas
7.500000000000000000e+00 -2.977139249646195696e-01 -1.218517992017122520e+00
7.574999999999999289e+00 -2.985641577655511192e-01 -7.751270318503652446e-01
7.649999999999999467e+00 -2.981955389871695505e-01 -1.993588222482054917e+00
7.724999999999999645e+00 -2.979260315538462267e-01 -1.305424884106930585e-06
7.799999999999998934e+00 -2.985496640589130335e-01 -2.437054892042105791e+00
7.874999999999998224e+00 -2.983056296982287137e-01 -1.993660810566892039e+00
7.949999999999998401e+00 -2.981140468401042298e-01 -2.437037641886614203e+00
8.024999999999998579e+00 -2.987758103983517710e-01 -1.993627732112689177e+00
8.099999999999997868e+00 -2.984703197227212002e-01 -1.424791938243449635e-06
8.174999999999997158e+00 -2.982769711955696179e-01 -1.446084998539917026e-06
8.249999999999996447e+00 -2.986757487014842782e-01 -1.218545056580139008e+00
8.324999999999997513e+00 -2.986969231591275475e-01 -1.218516509378295254e+00
8.399999999999996803e+00 -2.984260375280598510e-01 -1.518867758672990667e-06
8.474999999999996092e+00 -2.987191253017479342e-01 -1.545554399899970325e-06
8.549999999999997158e+00 -2.988840174963659502e-01 -2.437048651518453291e+00
8.624999999999996447e+00 -2.985620487527286260e-01 -1.218520977795879423e+00
8.699999999999995737e+00 -2.987758402908394784e-01 -1.218533982138880090e+00
8.774999999999995026e+00 -2.990791959593120941e-01 -7.751213180516726142e-01
8.849999999999994316e+00 -2.986804551578572386e-01 -1.669103805761418214e-06
8.924999999999995381e+00 -2.988761814229262681e-01 -4.874081374891869878e+00
8.999999999999994671e+00 -2.992644170827883920e-01 -3.212089199613613832e+00
9.074999999999993960e+00 -2.987905438389971691e-01 -1.746398597087634678e-06
9.149999999999995026e+00 -2.989465520169718449e-01 -3.212196057399970162e+00
9.224999999999994316e+00 -2.993556335247010702e-01 -1.218448206193493144e+00
9.299999999999993605e+00 -2.988925965525163209e-01 -1.825011238564553176e-06
9.374999999999992895e+00 -2.989935265047042323e-01 -4.874142825180260097e+00
9.449999999999992184e+00 -2.994712239141616994e-01 -1.218534439106890410e+00
9.524999999999993250e+00 -2.989978490900798702e-01 -1.218540399747778391e+00
9.599999999999992539e+00 -2.990407933020113873e-01 -1.218452092820808907e+00
9.674999999999991829e+00 -2.995945982975155575e-01 -1.218550471170098071e+00
9.749999999999992895e+00 -2.990950409216697192e-01 -2.437057043601490225e+00
9.824999999999992184e+00 -2.991193415276072187e-01 -2.013916301229535816e-06
9.899999999999991473e+00 -2.996499152302334323e-01 -2.031810413093398243e-06
9.974999999999990763e+00 -2.993599335916418136e-01 -1.993575582962117565e+00
1.004999999999999005e+01 -2.992377636866858648e-01 -6.424355176446400861e+00
1.012499999999999112e+01 -2.997402567848214128e-01 -3.212189993244821462e+00
1.019999999999999041e+01 -2.992650530266175446e-01 -2.437040759931333511e+00
1.027499999999998970e+01 -2.994869900435745969e-01 -1.550229234289647318e+00
1.034999999999999076e+01 -2.997583344296083085e-01 -2.197057960305289805e-06
1.042499999999999005e+01 -2.993701173321862141e-01 -3.212179080666009323e+00
1.049999999999998934e+01 -2.993581494900395823e-01 -1.218540379917215200e+00
1.057499999999998863e+01 -2.997853047297605045e-01 -3.655596931004520211e+00
1.064999999999998792e+01 -2.994431691740073731e-01 -3.212138674690280027e+00
1.072499999999998899e+01 -2.994273331712778985e-01 -1.218471330930335661e+00
1.079999999999998828e+01 -2.998124870389625718e-01 -1.218529082262248098e+00
1.087499999999998757e+01 -2.995417349954755393e-01 -2.402604132408360342e-06
1.094999999999998863e+01 -2.995061719155533986e-01 -1.218541702975405983e+00
1.102499999999998792e+01 -2.999030877685875396e-01 -3.987324432885843706e+00
1.109999999999998721e+01 -2.996644769791180218e-01 -7.751141747716501218e-01
1.117499999999998650e+01 -2.996124483407965888e-01 -4.430735812668420870e+00
1.124999999999998579e+01 -2.998503960840567251e-01 -3.655625119446971549e+00
1.132499999999998685e+01 -2.997242571376809162e-01 -1.218535856088148517e+00
1.139999999999998614e+01 -2.996431188725658945e-01 -1.218518721383019088e+00
1.147499999999998543e+01 -2.998560632431984674e-01 -1.218549803545186716e+00
1.154999999999998650e+01 -2.998154357864740716e-01 -2.660024638808820494e-06
1.162499999999998579e+01 -2.997508386932316027e-01 -1.993669316214493836e+00
1.169999999999998508e+01 -2.998802566691404214e-01 -2.437046628882064692e+00
1.177499999999998437e+01 -2.999155688698849076e-01 -1.218506069172677453e+00
1.184999999999998366e+01 -2.997499807693452256e-01 -1.218545000481204621e+00
1.192499999999998472e+01 -2.998772364984373384e-01 -3.655612166956101472e+00
1.199999999999998401e+01 -2.999966274303474956e-01 -3.655614354813089495e+00
1.207499999999998508e+01 -2.997769616269552184e-01 -2.436985915217990240e+00
1.214999999999998437e+01 -2.998822757911946413e-01 -2.896703682835695577e-06
1.222499999999998188e+01 -3.000552784245982263e-01 -1.993657416421094286e+00
1.229999999999998295e+01 -2.998399639435264108e-01 -2.437072655259790555e+00
1.237499999999998401e+01 -2.999062456889833861e-01 -2.437068226273886307e+00
1.244999999999998153e+01 -3.001299861675676972e-01 -4.874131836523448058e+00
1.252499999999998082e+01 -2.999022497448261548e-01 -7.751280585645622390e-01
1.259999999999998188e+01 -2.999192202160331222e-01 -3.076693693024106988e-06
1.267499999999998295e+01 -3.001722977289440486e-01 -1.218536846703169862e+00
1.274999999999998224e+01 -2.999169310405775946e-01 -1.218549694593427102e+00
1.282499999999997975e+01 -2.999437757258541781e-01 -3.166952667312092524e-06
1.289999999999998082e+01 -3.002280742550483827e-01 -3.655575137801987395e+00
1.297499999999998188e+01 -2.999729959036753213e-01 -3.212115010358152389e+00
1.304999999999997939e+01 -2.999719895890996524e-01 -3.257328638323043167e-06
1.312499999999997868e+01 -3.002640674276051413e-01 -3.279569010838467684e-06
1.319999999999997975e+01 -3.000600724592411561e-01 -5.205891841474760362e+00
1.327499999999998082e+01 -3.000374989803292758e-01 -4.430758423010818348e+00
1.334999999999998010e+01 -3.003155245912280114e-01 -3.212213795552512074e+00
1.342499999999997762e+01 -3.000783745584268969e-01 -4.430698755779021170e+00
1.349999999999997868e+01 -3.000405838413862103e-01 -1.218514310239816822e+00
1.357499999999997975e+01 -3.003144039431764334e-01 -1.218547091361880108e+00
1.364999999999997726e+01 -3.000846706009504539e-01 -2.437037012582716322e+00
1.372499999999997655e+01 -3.000857200334152708e-01 -1.993649130389001378e+00
1.379999999999997762e+01 -3.003239604851206668e-01 -3.655619391044339750e+00
1.387499999999997868e+01 -3.001638312213499304e-01 -3.212218808776781565e+00
1.394999999999997797e+01 -3.001171854560459318e-01 -3.655609660478136735e+00
1.402499999999997549e+01 -3.003709236053085929e-01 -3.212218675374435506e+00
1.409999999999997655e+01 -3.001572609218000620e-01 -3.681555833254484926e-06
1.417499999999997762e+01 -3.001513014832448700e-01 -5.649243403235240102e+00
1.424999999999997513e+01 -3.003884094186575204e-01 -3.987330630169359402e+00
1.432499999999997442e+01 -3.002176954127222519e-01 -1.218548001703630757e+00
1.439999999999997549e+01 -3.002197378944079231e-01 -4.430677248811939251e+00
1.447499999999997655e+01 -3.003473374847238642e-01 -3.655603314013091243e+00
1.454999999999997584e+01 -3.002757004125062856e-01 -3.212189771920940018e+00
1.462499999999997335e+01 -3.002609630168305843e-01 -2.768814095686926713e+00
1.469999999999997442e+01 -3.003676647649617948e-01 -3.212208758074502235e+00
1.477499999999997549e+01 -3.003038636546555562e-01 -2.437087880727489608e+00
1.484999999999997300e+01 -3.002539842605874698e-01 -7.751374526258419939e-01
1.492499999999997229e+01 -3.003464699870258547e-01 -3.655629660870442610e+00
