# total_time tau_hot tau_cold eta power W_out Q_hot Q_cold W_comp W_exp W_net
1.213500000000000000e+03 4.020000000000000000e+02 8.040000000000000000e+02 6.847503966896434369e-01 1.333171037547622529e-04 1.617803054064039792e-01 2.362617184137672799e-01 -1.366857045361866141e-01 -6.906937334217881919e-01 5.289134280153842127e-01 -1.617803054064039792e-01
1.216500000000000000e+03 4.030000000000000000e+02 8.060000000000000000e+02 6.847344203202037072e-01 1.337307473277183809e-04 1.626834541241694021e-01 2.375862075811719931e-01 -1.367045070218093628e-01 -6.915880945626979859e-01 5.289046404385285838e-01 -1.626834541241694021e-01
1.219500000000000000e+03 4.040000000000000000e+02 8.080000000000000000e+02 6.847510843065097719e-01 1.341440021410519249e-04 1.635886106110128191e-01 2.389023023989647609e-01 -1.367155212913839790e-01 -6.924766033067079052e-01 5.288879926956950861e-01 -1.635886106110128191e-01
1.222500000000000000e+03 4.050000000000000000e+02 8.100000000000000000e+02 6.847353515443309613e-01 1.345442241861168325e-04 1.644803140675278330e-01 2.402100515134263370e-01 -1.367341632313406330e-01 -6.933592979499673126e-01 5.288789838824394796e-01 -1.644803140675278330e-01
1.225500000000000000e+03 4.060000000000000000e+02 8.120000000000000000e+02 6.847517036566942439e-01 1.349441402573373344e-04 1.653740438853669170e-01 2.415095033750781772e-01 -1.367450621782068942e-01 -6.942362165378183070e-01 5.288621726524513900e-01 -1.653740438853669170e-01
1.228500000000000000e+03 4.070000000000000000e+02 8.140000000000000000e+02 6.847362768341590522e-01 1.353312589350773819e-04 1.662544516017425700e-01 2.428007062374597513e-01 -1.367635240328567980e-01 -6.951073968662744296e-01 5.288529452645318596e-01 -1.662544516017425700e-01
1.231500000000000000e+03 4.080000000000000000e+02 8.160000000000000000e+02 6.847522160213740383e-01 1.357181161631108727e-04 1.671368600548710504e-01 2.440837081564902755e-01 -1.367743317528316571e-01 -6.959728764838144510e-01 5.288360164289434007e-01 -1.671368600548710504e-01
1.234500000000000000e+03 4.090000000000000000e+02 8.180000000000000000e+02 6.847372517591949759e-01 1.360924617321679461e-04 1.680061440083613356e-01 2.453585569891630624e-01 -1.367925708017576070e-01 -6.968326926927246312e-01 5.288265486843632956e-01 -1.680061440083613356e-01
1.237500000000000000e+03 4.100000000000000000e+02 8.200000000000000000e+02 6.847527570105079731e-01 1.364665490040835316e-04 1.688773543925533582e-01 2.466253003928567389e-01 -1.368032926550941941e-01 -6.976868825507825944e-01 5.288095281582292362e-01 -1.688773543925533582e-01
1.240500000000000000e+03 4.110000000000000000e+02 8.220000000000000000e+02 6.847381311914385593e-01 1.368283895249799238e-04 1.697356172057375989e-01 2.478839858244772376e-01 -1.368213343562276751e-01 -6.985354828728083110e-01 5.287998656670707120e-01 -1.697356172057375989e-01
1.243500000000000000e+03 4.120000000000000000e+02 8.240000000000000000e+02 6.847532228215891248e-01 1.371899973631314452e-04 1.705957617210539512e-01 2.491346605396003999e-01 -1.368319659864900562e-01 -6.993785302321754438e-01 5.287827685111214926e-01 -1.705957617210539512e-01
1.246500000000000000e+03 4.130000000000000000e+02 8.260000000000000000e+02 6.847390752574213924e-01 1.375396469226608119e-04 1.714431698890966915e-01 2.503773715917179121e-01 -1.368497713531827142e-01 -7.002160609623413468e-01 5.287728910732446552e-01 -1.714431698890966915e-01
1.249500000000000000e+03 4.140000000000000000e+02 8.280000000000000000e+02 6.847536386991954771e-01 1.378890324882042729e-04 1.722923460940112284e-01 2.516121658313630327e-01 -1.368603420142270877e-01 -7.010481111582677061e-01 5.287557650642564777e-01 -1.722923460940112284e-01
1.252500000000000000e+03 4.150000000000000000e+02 8.300000000000000000e+02 6.847399959676530035e-01 1.382267763692371560e-04 1.731290374024695433e-01 2.528390899056641716e-01 -1.368778997476762793e-01 -7.018747166781083013e-01 5.287456792756387580e-01 -1.731290374024695433e-01
1.255500000000000000e+03 4.160000000000000000e+02 8.320000000000000000e+02 6.847085925651490435e-01 1.385323837009431644e-04 1.739274077365341453e-01 2.540166862591040076e-01 -1.368868755885026545e-01 -7.026538344430126592e-01 5.287264267064785139e-01 -1.739274077365341453e-01
1.258500000000000000e+03 4.170000000000000000e+02 8.340000000000000000e+02 6.847409771572569026e-01 1.388903423561974482e-04 1.747934958552744833e-01 2.552695131244228088e-01 -1.369056951111537190e-01 -7.035117359460006936e-01 5.287182400907262103e-01 -1.747934958552744833e-01
1.261500000000000000e+03 4.180000000000000000e+02 8.360000000000000000e+02 6.847542986842577450e-01 1.392160609037856802e-04 1.756210608301256304e-01 2.564731045392166786e-01 -1.369161954582940044e-01 -7.043222202388559339e-01 5.287011594087303035e-01 -1.756210608301256304e-01
1.264500000000000000e+03 4.190000000000000000e+02 8.380000000000000000e+02 6.847418530360466216e-01 1.395308466662947865e-04 1.764367556095297607e-01 2.576690103390564257e-01 -1.369331966585457527e-01 -7.051274009556868227e-01 5.286906453461570621e-01 -1.764367556095297607e-01
1.267500000000000000e+03 4.200000000000000000e+02 8.400000000000000000e+02 6.847546153880651465e-01 1.398451397282118706e-04 1.772537146055085389e-01 2.588572762011323580e-01 -1.369436490919119231e-01 -7.059273128317495871e-01 5.286735982262410483e-01 -1.772537146055085389e-01
1.270500000000000000e+03 4.210000000000000000e+02 8.420000000000000000e+02 6.847428192108906408e-01 1.401488526675861014e-04 1.780591173141681249e-01 2.600379475601752310e-01 -1.369603519754737098e-01 -7.067219903495711719e-01 5.286628730354030470e-01 -1.780591173141681249e-01
1.273500000000000000e+03 4.220000000000000000e+02 8.440000000000000000e+02 6.847548734780202206e-01 1.404519457727981184e-04 1.788655529416584011e-01 2.612110696389220443e-01 -1.369707970571136246e-01 -7.075114677617799774e-01 5.286459148201215763e-01 -1.788655529416584011e-01
1.276500000000000000e+03 4.230000000000000000e+02 8.460000000000000000e+02 6.847436853901117670e-01 1.407448334724785541e-04 1.796607799276188633e-01 2.623766874538793759e-01 -1.369872080061597386e-01 -7.082957790968735790e-01 5.286349991692547157e-01 -1.796607799276188633e-01
1.279500000000000000e+03 4.240000000000000000e+02 8.480000000000000000e+02 6.847551728628865630e-01 1.410370057844017103e-04 1.804568489011419974e-01 2.635348458145582717e-01 -1.369976115043438358e-01 -7.090749581603246199e-01 5.286181092591826225e-01 -1.804568489011419974e-01
1.282500000000000000e+03 4.250000000000000000e+02 8.500000000000000000e+02 6.847445925639469300e-01 1.413193185333636059e-04 1.812420260190388266e-01 2.646855893237491930e-01 -1.370137264721514314e-01 -7.098490385364293331e-01 5.286070125173905065e-01 -1.812420260190388266e-01
1.285500000000000000e+03 4.260000000000000000e+02 8.520000000000000000e+02 6.847553708383913307e-01 1.416007854623286958e-04 1.820278097118235294e-01 2.658289623766730281e-01 -1.370241282403371341e-01 -7.106180535893545924e-01 5.285902438775310630e-01 -1.820278097118235294e-01
1.288500000000000000e+03 4.270000000000000000e+02 8.540000000000000000e+02 6.847455011844549855e-01 1.418727892873282849e-04 1.828030889967224848e-01 2.669650091610889509e-01 -1.370399161298462010e-01 -7.113820364647740480e-01 5.285789474680515632e-01 -1.828030889967224848e-01
1.291500000000000000e+03 4.280000000000000000e+02 8.560000000000000000e+02 6.847555546688945949e-01 1.421437868244424983e-04 1.835787006837674706e-01 2.680937736569873886e-01 -1.370503232725946985e-01 -7.121410200912222654e-01 5.285623194074547948e-01 -1.835787006837674706e-01
1.294500000000000000e+03 4.290000000000000000e+02 8.580000000000000000e+02 6.847464535471400326e-01 1.424057332302364448e-04 1.843442216665410749e-01 2.692152996362328077e-01 -1.370657644582761736e-01 -7.128950371813720377e-01 5.285508155148309628e-01 -1.843442216665410749e-01
1.297500000000000000e+03 4.300000000000000000e+02 8.600000000000000000e+02 6.847557014621948879e-01 1.426664785127714592e-04 1.851097558703209689e-01 2.703296306625068701e-01 -1.370762017821022527e-01 -7.136441202335045420e-01 5.285343643631835731e-01 -1.851097558703209689e-01
1.300500000000000000e+03 4.310000000000000000e+02 8.620000000000000000e+02 6.847472724915385500e-01 1.429185815945183298e-04 1.858656153636710773e-01 2.714368100910804493e-01 -1.370913182143654041e-01 -7.143883015327932018e-01 5.285226861691221245e-01 -1.858656153636710773e-01
1.303500000000000000e+03 4.320000000000000000e+02 8.640000000000000000e+02 6.847558831175813987e-01 1.431693384567160067e-04 1.866212326783293074e-01 2.725368810687297527e-01 -1.371017436947027102e-01 -7.151276131527400937e-01 5.285063804744107863e-01 -1.866212326783293074e-01
1.306500000000000000e+03 4.330000000000000000e+02 8.660000000000000000e+02 6.847481658447946984e-01 1.434118353800744683e-04 1.873675629240673102e-01 2.736298865334034769e-01 -1.371165210227034137e-01 -7.158620869562899447e-01 5.284945240322226345e-01 -1.873675629240673102e-01
1.309500000000000000e+03 4.340000000000000000e+02 8.680000000000000000e+02 6.847559584057499871e-01 1.436527898536016856e-04 1.881133283132914169e-01 2.747158692145698078e-01 -1.371269869260851315e-01 -7.165917545975348801e-01 5.284784262842434632e-01 -1.881133283132914169e-01
1.312500000000000000e+03 4.350000000000000000e+02 8.700000000000000000e+02 6.847490531929361079e-01 1.438859255053721376e-04 1.888502772258009443e-01 2.757948716324696292e-01 -1.371413941698282624e-01 -7.173166475225138949e-01 5.284663702967129506e-01 -1.888502772258009443e-01
1.315500000000000000e+03 4.360000000000000000e+02 8.720000000000000000e+02 6.847560445231406501e-01 1.441172999028639658e-04 1.895863080222175423e-01 2.768669360987446870e-01 -1.371518995664154361e-01 -7.180367969709953169e-01 5.284504889487777746e-01 -1.895863080222175423e-01
1.318500000000000000e+03 4.370000000000000000e+02 8.740000000000000000e+02 6.847499112238507601e-01 1.443412848261057407e-04 1.903139840432204188e-01 2.779321047345197915e-01 -1.371659440802767693e-01 -7.187522339903020807e-01 5.284382499470816619e-01 -1.903139840432204188e-01
