# tau eta eta_joint W_out W_out_joint power power_joint
7.500000000000000000e+00 6.847477479961259217e-01 6.793578977179047795e-01 2.992975310762824304e-01 2.969416724613935799e-01 1.221622575821560905e-02 1.212006826373034953e-02
7.574999999999999289e+00 6.847650736396146964e-01 6.813664298376806983e-01 2.993053903592741705e-01 2.978198700706542468e-01 1.217926308684737051e-02 1.211881465190861422e-02
7.649999999999999467e+00 6.847503362025552098e-01 6.795897879957153442e-01 2.992991659215218370e-01 2.970435295350242200e-01 1.214195399275950701e-02 1.205044744563992833e-02
7.724999999999999645e+00 6.847655892297024316e-01 6.813670209937262578e-01 2.993059882057925725e-01 2.978204990977637578e-01 1.210539891631112579e-02 1.204531846704808007e-02
7.799999999999998934e+00 6.847536087044164832e-01 6.799048312718266596e-01 2.993008546064210851e-01 2.971814890259807385e-01 1.206858284703310989e-02 1.198312455749922512e-02
7.874999999999998224e+00 6.847650673369745089e-01 6.812436875873467690e-01 2.993059242011222310e-01 2.977667542424029534e-01 1.203239896285918445e-02 1.197052278361418823e-02
7.949999999999998401e+00 6.847571964799032962e-01 6.802587624266547284e-01 2.993025140521865524e-01 2.973362804319243935e-01 1.199609274758262761e-02 1.191728578885468612e-02
8.024999999999998579e+00 6.847641054231861091e-01 6.810675724714294610e-01 2.993055448580488331e-01 2.976898164627534982e-01 1.196026153278916503e-02 1.189569696154859149e-02
8.099999999999997868e+00 6.847606448492101761e-01 6.805972825744601717e-01 2.993040355431435540e-01 2.974842593342827968e-01 1.192446356745591879e-02 1.185196252327820089e-02
8.174999999999997158e+00 6.847633219593047826e-01 6.809129367574280334e-01 2.993052121643327013e-01 2.976222359843809784e-01 1.188898558746108100e-02 1.182213449789001024e-02
8.249999999999996447e+00 6.847635578606974249e-01 6.808736520720163332e-01 2.993053354995696136e-01 2.976050850353360033e-01 1.185367665344830290e-02 1.178634000139944758e-02
8.324999999999997513e+00 6.847631914666372221e-01 6.808372848520048981e-01 2.993052184642219782e-01 2.975892320449666784e-01 1.181856736285180794e-02 1.175080876781704753e-02
8.399999999999996803e+00 6.847657208778973326e-01 6.810633620859322113e-01 2.993063973471472572e-01 2.976881217268534385e-01 1.178371643099005057e-02 1.172000479239580610e-02
