# tau eta power W_out Q_hot
2.450000000000000000e+01 6.844787090519988126e-01 1.220820165781366824e-02 2.991009406164348849e-01 4.369762516509664296e-01
2.457499999999999929e+01 6.843964999208184130e-01 1.216478188294312437e-02 2.989495147733273184e-01 4.368074863151907294e-01
2.464999999999999858e+01 6.845754288876937377e-01 1.213676740250090903e-02 2.991713164716474083e-01 4.370173159117681227e-01
2.472500000000000142e+01 6.844865339668889659e-01 1.209747134309268127e-02 2.991099789579665380e-01 4.369844607818618720e-01
2.479999999999999716e+01 6.845047456053738877e-01 1.206129296715503785e-02 2.991200655854449053e-01 4.369875702189676137e-01
2.487500000000000000e+01 6.844609008018321950e-01 1.202513406654092537e-02 2.991252099052055247e-01 4.370230783888259252e-01
2.494999999999999929e+01 6.845160258186141489e-01 1.198909879364149639e-02 2.991280149013553213e-01 4.369919820995096238e-01
2.502499999999999858e+01 6.845096198681178690e-01 1.195313521265604917e-02 2.991272086967176058e-01 4.369948938838134067e-01
2.509999999999999787e+01 6.846016097406824041e-01 1.191993320584369513e-02 2.991903234666767331e-01 4.370283668774980756e-01
2.517499999999999716e+01 6.845219742278279007e-01 1.188223805948277444e-02 2.991353431474788049e-01 4.369988903349920073e-01
2.524999999999999645e+01 6.845379744966116897e-01 1.184729537169644867e-02 2.991442081353352656e-01 4.370016263236773391e-01
2.532499999999999574e+01 6.844984681138310822e-01 1.181238214488906750e-02 2.991485778193155864e-01 4.370332320006998783e-01
2.539999999999999858e+01 6.845474881896088659e-01 1.177759237968822349e-02 2.991508464440808535e-01 4.370052503373159647e-01
2.547499999999999432e+01 6.845415477906131585e-01 1.174288580940272518e-02 2.991500159945343906e-01 4.370078294882958625e-01
2.554999999999999716e+01 6.846237537323650590e-01 1.171062242193124034e-02 2.992064028803431697e-01 4.370377177963207793e-01
2.562499999999999645e+01 6.845520009916237214e-01 1.167441310058290639e-02 2.991568357024368963e-01 4.370111186134673642e-01
2.569999999999999574e+01 6.845661699628790009e-01 1.164064970366272128e-02 2.991646973841318724e-01 4.370135576526579801e-01
2.577499999999999503e+01 6.845303920260623620e-01 1.160692289376179763e-02 2.991684375867103007e-01 4.370418626720666277e-01
2.584999999999999432e+01 6.844972617530294956e-01 1.156986549391338971e-02 2.990810230176610407e-01 4.369353096485741328e-01
2.592499999999999716e+01 6.845687559705200265e-01 1.153980543635695771e-02 2.991694559375540630e-01 4.370188579720067912e-01
2.599999999999999289e+01 6.846426505240276184e-01 1.150846641164767967e-02 2.992201267028395950e-01 4.370457003720343292e-01
2.607499999999999574e+01 6.845776640057831264e-01 1.147364167011074611e-02 2.991752065481376732e-01 4.370215715153836777e-01
2.614999999999999503e+01 6.845902984889379317e-01 1.144100323208716539e-02 2.991822345190793264e-01 4.370237719983023350e-01
2.622499999999999432e+01 6.845577502862560948e-01 1.140840642153798795e-02 2.991854584048336818e-01 4.370492603140139209e-01
2.629999999999999361e+01 6.845972301393429271e-01 1.137592972535801314e-02 2.991869517769156772e-01 4.370262376259091419e-01
2.637499999999999289e+01 6.845921340075060701e-01 1.134355114912012630e-02 2.991861615580432288e-01 4.370283365756038041e-01
2.644999999999999218e+01 6.846589044052573403e-01 1.131311655824881850e-02 2.992319329656811799e-01 4.370525688636372474e-01
2.652499999999999147e+01 6.845623900128690043e-01 1.127671990673618195e-02 2.991149955261771520e-01 4.369433668720160147e-01
2.659999999999999432e+01 6.846111082324326524e-01 1.124802111576147026e-02 2.991973616792550361e-01 4.370325840194728695e-01
2.667499999999999005e+01 6.845813741383858231e-01 1.121650072466251827e-02 2.992001568303725989e-01 4.370556490920395332e-01
2.674999999999999289e+01 6.846170848529766761e-01 1.118509780891143064e-02 2.992013663883806851e-01 4.370346183409006824e-01
2.682499999999999218e+01 6.846123671137437361e-01 1.115379766126684859e-02 2.992006222634830959e-01 4.370365430657973116e-01
2.689999999999999147e+01 6.846729876270589710e-01 1.112424400676340769e-02 2.992421637819355773e-01 4.370585216441058574e-01
2.697499999999999076e+01 6.846430061341802764e-01 1.109271758474129378e-02 2.992260568483963157e-01 4.370541350272002523e-01
2.704999999999999005e+01 6.846291807373945382e-01 1.106138635715222564e-02 2.992105009609675736e-01 4.370402392703981453e-01
2.712499999999999289e+01 6.846019135439284087e-01 1.103089168441777693e-02 2.992129369398320859e-01 4.370612045048464234e-01
2.719999999999998863e+01 6.846343643959343916e-01 1.100051149269645062e-02 2.992139126013433348e-01 4.370419134092769498e-01
2.727499999999999147e+01 6.846299961046852234e-01 1.097023734135508903e-02 2.992132234854599782e-01 4.370436954090278769e-01
2.734999999999999076e+01 6.844711127789026017e-01 1.093167458596167908e-02 2.989812999260518245e-01 4.368063083220702358e-01
2.742499999999999005e+01 6.846356949250468338e-01 1.091036470524968036e-02 2.992167520414723558e-01 4.370452114306284663e-01
2.749999999999998934e+01 6.846449759528391299e-01 1.088079949619855796e-02 2.992219861454602503e-01 4.370469318481813303e-01
2.757499999999998863e+01 6.846198837987429453e-01 1.085128264159937982e-02 2.992241188421027598e-01 4.370660653059054157e-01
2.764999999999998792e+01 6.846494954121769005e-01 1.082187702550346277e-02 2.992248997551706369e-01 4.370483024675705375e-01
2.772499999999998721e+01 6.846454498114504794e-01 1.079257966241283992e-02 2.992242711403958477e-01 4.370499668445929631e-01
2.779999999999999005e+01 6.846960442244857115e-01 1.076470921291491911e-02 2.992589161190346569e-01 4.370682708675312500e-01
2.787499999999998579e+01 6.846504016631951295e-01 1.073461101147310352e-02 2.992272819448126286e-01 4.370512033848387157e-01
2.794999999999998863e+01 6.846588608639687656e-01 1.070597794732038206e-02 2.992320836276045615e-01 4.370528167122595398e-01
2.802499999999998792e+01 6.846356960487599563e-01 1.067739369458003615e-02 2.992339582906053952e-01 4.370703426911206058e-01
2.809999999999998721e+01 6.846628197226222179e-01 1.064891728587676056e-02 2.992345757331368317e-01 4.370539294865841695e-01
2.817499999999998650e+01 6.846590725308377978e-01 1.062055051562908400e-02 2.992340107778492797e-01 4.370554963534372117e-01
2.824999999999998579e+01 6.847055498080837355e-01 1.059348048051618994e-02 2.992658235745822015e-01 4.370722913790657804e-01
2.832499999999998863e+01 6.846633884654302893e-01 1.056439825256386654e-02 2.992365805038713633e-01 4.370564945418872194e-01
2.839999999999998437e+01 6.846711320821173841e-01 1.053665523462204642e-02 2.992410086632659727e-01 4.370580190130988196e-01
2.847499999999998721e+01 6.846496822983010322e-01 1.050896090723847653e-02 2.992426618336154753e-01 4.370741264774820056e-01
2.854999999999998650e+01 6.846746140250716817e-01 1.048137096966961050e-02 2.992431411840672517e-01 4.370589109838231012e-01
2.862499999999998579e+01 6.846711421741118464e-01 1.045389138960578501e-02 2.992426410274654502e-01 4.370603967289278247e-01
2.869999999999998508e+01 6.847139775912443049e-01 1.042759401746790916e-02 2.992719483013288606e-01 4.370758566286872537e-01
2.877499999999998437e+01 6.846749133979069812e-01 1.039947289188897402e-02 2.992448324641050483e-01 4.370611900748806455e-01
2.884999999999998366e+01 6.847588583301977838e-01 1.037374400910296389e-02 2.992825146626203470e-01 4.370626404051617397e-01
2.892499999999998295e+01 6.846621136260191420e-01 1.034573545200763792e-02 2.992503979493207344e-01 4.370774897481465304e-01
2.899999999999998579e+01 6.846465810725499423e-01 1.031800069856238060e-02 2.992220202583089073e-01 4.370459570389664261e-01
2.907499999999998508e+01 6.846818866238894019e-01 1.029235853523496023e-02 2.992503244119563144e-01 4.370647599391525584e-01
2.914999999999998437e+01 6.847214844628526365e-01 1.026680631833174102e-02 2.992774041793700990e-01 4.370790328189365082e-01
2.922499999999998010e+01 6.846851879986945999e-01 1.023959586724548440e-02 2.992521892202490985e-01 4.370653761255598457e-01
