# tau eta power W_out Q_hot
2.450000000000000000e+01 6.786040373404234050e-01 1.203965265683437473e-02 2.949714900924421679e-01 4.346739392363340726e-01
2.457499999999999929e+01 6.791130404219111183e-01 1.201628451939815850e-02 2.953001920642097655e-01 4.348321626702223996e-01
2.464999999999999858e+01 6.791918857482825977e-01 1.198268735908488217e-02 2.953732434014423314e-01 4.348892405804027916e-01
2.472500000000000142e+01 6.788971453669793155e-01 1.194003009580368001e-02 2.952172441187459473e-01 4.348482625584846328e-01
2.479999999999999716e+01 6.784347101534586866e-01 1.189271162274627841e-02 2.949392482441076657e-01 4.347349034918832622e-01
2.487500000000000000e+01 6.780549147828796031e-01 1.184628141448588502e-02 2.946762501853363858e-01 4.345905379650479294e-01
2.494999999999999929e+01 6.759311987782424813e-01 1.170662634240489212e-02 2.920803272430020359e-01 4.321154694012384057e-01
2.502499999999999858e+01 6.780923738004903667e-01 1.177049258192231981e-02 2.945565768626060565e-01 4.343900451375243832e-01
2.509999999999999787e+01 6.784130644626842344e-01 1.174115814191486334e-02 2.947030693620630304e-01 4.344006399633140170e-01
2.517499999999999716e+01 6.682746120832885328e-01 1.115809582799135759e-02 2.809050624696823872e-01 4.203437589735529167e-01
2.524999999999999645e+01 6.788186571608677555e-01 1.168558455495069710e-02 2.950610100125050650e-01 4.346683858787648846e-01
2.532499999999999574e+01 6.787176069427172109e-01 1.165483024560783065e-02 2.951585759700182665e-01 4.348768515075950303e-01
2.539999999999999858e+01 6.784955700416106517e-01 1.162212890123119798e-02 2.952020740912724150e-01 4.350832741224357481e-01
2.547499999999999432e+01 6.783165768364504133e-01 1.158925307051408317e-02 2.952362219713462466e-01 4.352484253713453932e-01
2.554999999999999716e+01 6.783233720769608066e-01 1.155788537100238024e-02 2.953039712291107843e-01 4.353439427052593902e-01
2.562499999999999645e+01 6.785606980653666742e-01 1.152847871893414831e-02 2.954172671726874588e-01 4.353586466397874055e-01
2.569999999999999574e+01 6.789537022522095233e-01 1.149995907618605630e-02 2.955489482579816141e-01 4.353005915979152318e-01
2.577499999999999503e+01 6.773693516727858910e-01 1.138911354599858594e-02 2.935544016481135277e-01 4.333742011255325988e-01
2.584999999999999432e+01 6.796078395212422629e-01 1.143832410977651398e-02 2.956806782377228160e-01 4.350754376906813548e-01
2.592499999999999716e+01 6.796641319848036877e-01 1.140367781669747275e-02 2.956403473978819196e-01 4.349800636595783088e-01
2.599999999999999289e+01 6.795763444299477429e-01 1.136821602856867043e-02 2.955736167427853722e-01 4.349380598153733679e-01
2.607499999999999574e+01 6.794863101277999196e-01 1.133472526098177648e-02 2.955529611800997714e-01 4.349652918312824079e-01
2.614999999999999503e+01 6.795443680760518967e-01 1.130565725108743404e-02 2.956429371159363662e-01 4.350605361544975791e-01
2.622499999999999432e+01 6.798276178660207503e-01 1.128180301654506737e-02 2.958652841088943442e-01 4.352063322134743784e-01
2.629999999999999361e+01 6.802962758999144821e-01 1.126171354267812945e-02 2.961830661724347280e-01 4.353736403754903672e-01
2.637499999999999289e+01 6.808103846241422286e-01 1.124218857397820195e-02 2.965127236386749798e-01 4.355290846545649686e-01
2.644999999999999218e+01 6.811974920906829212e-01 1.121961858692533884e-02 2.967589116241751146e-01 4.356429891034738766e-01
2.652499999999999147e+01 6.813360033775917035e-01 1.119153878738676083e-02 2.968555663354337515e-01 4.356962862138938908e-01
2.659999999999999432e+01 6.812120581415539444e-01 1.115765685531100275e-02 2.967936723512726305e-01 4.356847017079661377e-01
2.667499999999999005e+01 6.809223770234483775e-01 1.111988518788665711e-02 2.966229373868765062e-01 4.356193119743250186e-01
2.674999999999999289e+01 6.806234794619860917e-01 1.108140145061816718e-02 2.964274888040359102e-01 4.355234542281050669e-01
2.682499999999999218e+01 6.804544897970428163e-01 1.104522430773453509e-02 2.962881420549787759e-01 4.354268308867383364e-01
2.689999999999999147e+01 6.804730064468366146e-01 1.101299487482035669e-02 2.962495621326675099e-01 4.353582865535939872e-01
2.697499999999999076e+01 6.806354760715725982e-01 1.098451051051828331e-02 2.963071710212306087e-01 4.353390051477015188e-01
2.704999999999999005e+01 6.808296611224352590e-01 1.095815407803834608e-02 2.964180678109371581e-01 4.353777232946253184e-01
2.712499999999999289e+01 6.809397775715024803e-01 1.093191469594111467e-02 2.965281861274026154e-01 4.354690324964390902e-01
2.719999999999998863e+01 6.809089383071921242e-01 1.090443323948993640e-02 2.966005841141261534e-01 4.355950809685432135e-01
2.727499999999999147e+01 6.807665563525512331e-01 1.087554645584776387e-02 2.966305295832476485e-01 4.357301733101448526e-01
2.734999999999999076e+01 6.795746033838621081e-01 1.077571794611652777e-02 2.947158858262869385e-01 4.336770155311627795e-01
2.742499999999999005e+01 6.805408233761752745e-01 1.081727681968010397e-02 2.966638167797267522e-01 4.359236163202850900e-01
2.749999999999998934e+01 6.806241619591225644e-01 1.078969045015155948e-02 2.967164873791677815e-01 4.359476256691989238e-01
2.757499999999998863e+01 6.808391899663642777e-01 1.076305460386605371e-02 2.967912307016062901e-01 4.359197224182537744e-01
2.764999999999998792e+01 6.811037237714029358e-01 1.074699138703252323e-02 2.971543118514491377e-01 4.362834932189891823e-01
2.772499999999998721e+01 6.813016028848024597e-01 1.070837203334630387e-02 2.968896146245261214e-01 4.357682608809678171e-01
2.779999999999999005e+01 6.813771050985535371e-01 1.067878327077327778e-02 2.968701749274970103e-01 4.356914441446606556e-01
2.787499999999998579e+01 6.813341956951513012e-01 1.064823941223027454e-02 2.968196736159187665e-01 4.356447621318635388e-01
2.794999999999998863e+01 6.812508675163393423e-01 1.061832055510327638e-02 2.967820595151364760e-01 4.356428353583247093e-01
2.802499999999998792e+01 6.812332159340558357e-01 1.059075551360048710e-02 2.968059232686535154e-01 4.356891536207545546e-01
2.809999999999998721e+01 6.816892130922596049e-01 1.057709596771139876e-02 2.972163966926901768e-01 4.359998529894076880e-01
2.817499999999998650e+01 6.816285576869091090e-01 1.054520998481133995e-02 2.971112913220593787e-01 4.358844534482236854e-01
2.824999999999998579e+01 6.810053706469990642e-01 1.047836082167514712e-02 2.960136932123227371e-01 4.346715987439139228e-01
2.832499999999998863e+01 6.822725741902112562e-01 1.050399035371286927e-02 2.975255267689168592e-01 4.360801504033042231e-01
2.839999999999998437e+01 6.786983898177944008e-01 1.032155432089876430e-02 2.931321427135247237e-01 4.319034008497057431e-01
2.847499999999998721e+01 6.823940216973477524e-01 1.045176135305884817e-02 2.976139045283505702e-01 4.361320513741940852e-01
2.854999999999998650e+01 6.786087367985326191e-01 1.036558516350380085e-02 2.959374564180333733e-01 4.360943801197952885e-01
2.862499999999998579e+01 6.818943040508633757e-01 1.038518106901756624e-02 2.972758081006277031e-01 4.359558458468271724e-01
2.869999999999998508e+01 6.818236494380666146e-01 1.035698600453839255e-02 2.972454983302517117e-01 4.359565682053273550e-01
2.877499999999998437e+01 6.817820556285091316e-01 1.032795461869051058e-02 2.971868941528192920e-01 4.358972074717542000e-01
2.884999999999998366e+01 6.818596534656665709e-01 1.030159821193850182e-02 2.972011084144255966e-01 4.358684472733515003e-01
2.892499999999998295e+01 6.793506491580233453e-01 1.023734402475292259e-02 2.961151759159781349e-01 4.358797276236928697e-01
2.899999999999998579e+01 6.782594737163122334e-01 1.017585283821367814e-02 2.950997323081965273e-01 4.350838340543762284e-01
2.907499999999998508e+01 6.820969652078164858e-01 1.022878675417959043e-02 2.974019748777714245e-01 4.360112858545868164e-01
2.914999999999998437e+01 6.821945741236815630e-01 1.021537341182147084e-02 2.977781349545957079e-01 4.365002980815392286e-01
2.922499999999998010e+01 6.818855738251501375e-01 1.017734376775860511e-02 2.974328716127450090e-01 4.361917644689944362e-01
2.929999999999998295e+01 6.817993191372554440e-01 1.015146865723302351e-02 2.974380316569273930e-01 4.362545155270961539e-01
2.937499999999998579e+01 6.818108627321368687e-01 1.012635212555948461e-02 2.974615936883097111e-01 4.362816874115622579e-01
2.944999999999998153e+01 6.819278309727999643e-01 1.010203918159446011e-02 2.975050538979566728e-01 4.362705852224166847e-01
2.952499999999998082e+01 6.819602486273774744e-01 1.007845821597208417e-02 2.975664788265756089e-01 4.363399177965366915e-01
2.959999999999998010e+01 6.824913732753420392e-01 1.007311401809016412e-02 2.981641749354686510e-01 4.368761080518130946e-01
2.967499999999998295e+01 6.823443404608522389e-01 1.002777490420185720e-02 2.975742202821899385e-01 4.361056473058891325e-01
2.974999999999998224e+01 6.823331748657669449e-01 1.000132230512790904e-02 2.975393385775551014e-01 4.360616624511756689e-01
2.982499999999998153e+01 6.822698296336144885e-01 9.974924643539745395e-03 2.975021274935727433e-01 4.360476083975958206e-01
2.989999999999998082e+01 6.823146886703279623e-01 9.950384515705656616e-03 2.975164970195989245e-01 4.360400002517740292e-01
2.997499999999998010e+01 6.827858173791858665e-01 9.941990552173001275e-03 2.980111668013855075e-01 4.364636159920185499e-01
