# tau eta power W_out Q_hot
2.450000000000000000e+01 6.502128837519814963e-01 1.127753062142997781e-02 2.762995002250344667e-01 4.249369816092827268e-01
2.457499999999999929e+01 6.512887321673999086e-01 1.126203843563615414e-02 2.767645945557585252e-01 4.249491521751401768e-01
2.464999999999999858e+01 6.525477545742995877e-01 1.125214997738844397e-02 2.773654969426251338e-01 4.250501131883737127e-01
2.472500000000000142e+01 6.538298635577882711e-01 1.124523862567374140e-02 2.780385250197832114e-01 4.252459860227980615e-01
2.479999999999999716e+01 6.549822894700800813e-01 1.123863007575135950e-02 2.787180258786337017e-01 4.255352096682389340e-01
2.487500000000000000e+01 6.558848096839490216e-01 1.123003931933458030e-02 2.793472280684476949e-01 4.259089766129156573e-01
2.494999999999999929e+01 6.564681563862717617e-01 1.121790077344627171e-02 2.798866242974844543e-01 4.263521719594219883e-01
2.502499999999999858e+01 6.567230095644202015e-01 1.120154867114670980e-02 2.803187554954463812e-01 4.268447296850026995e-01
2.509999999999999787e+01 6.566983558989246683e-01 1.118122597266685801e-02 2.806487719139381110e-01 4.273632930445983580e-01
2.517499999999999716e+01 6.564903223048844660e-01 1.115793766876875710e-02 2.809010808112534230e-01 4.278830490981685997e-01
2.524999999999999645e+01 6.562237009963689527e-01 1.113318201858526021e-02 2.811128459692777692e-01 4.283795991251971857e-01
2.532499999999999574e+01 6.560296186353897774e-01 1.110861441216548680e-02 2.813256599880908926e-01 4.288307295839441924e-01
2.539999999999999858e+01 6.560232580639486777e-01 1.108570725702770314e-02 2.815769643285036539e-01 4.292179596794961638e-01
2.547499999999999432e+01 6.562850928443004772e-01 1.106546291606839809e-02 2.818926677868424102e-01 4.295277629499953953e-01
2.554999999999999716e+01 6.568486792074048619e-01 1.104823041146406858e-02 2.822822870129069184e-01 4.297523858212314307e-01
2.562499999999999645e+01 6.598470148826074411e-01 1.107186727536028578e-02 2.837165989311072334e-01 4.299733006772530342e-01
2.569999999999999574e+01 6.587643458094901705e-01 1.102073564192185794e-02 2.832329059973917040e-01 4.299457124525384866e-01
2.577499999999999503e+01 6.599532301977730775e-01 1.100806721384659653e-02 2.837329324368960126e-01 4.299288486729092029e-01
2.584999999999999432e+01 6.611465179293259942e-01 1.099406708840420209e-02 2.841966342352485464e-01 4.298542403661695932e-01
2.592499999999999716e+01 6.622297063793742833e-01 1.097730141795687057e-02 2.845865392605317901e-01 4.297399173112592674e-01
2.599999999999999289e+01 6.631092918095576882e-01 1.095675653066418599e-02 2.848756697972687491e-01 4.296059085823877854e-01
2.607499999999999574e+01 6.637278531622506916e-01 1.093204260336071848e-02 2.850530108826306863e-01 4.294727266974412427e-01
2.614999999999999503e+01 6.640728923186229871e-01 1.090348943299693230e-02 2.851262486728697310e-01 4.293598669226597608e-01
2.622499999999999432e+01 6.641780941319659348e-01 1.087211876001443339e-02 2.851213144813784517e-01 4.292844298847464657e-01
2.629999999999999361e+01 6.641169016870607233e-01 1.083949796482773856e-02 2.850787964749694758e-01 4.292599627426765263e-01
2.637499999999999289e+01 6.639895976358110019e-01 1.080749991468411310e-02 2.850478102497934207e-01 4.292955962935705028e-01
2.644999999999999218e+01 6.639061269322883430e-01 1.077800845292753093e-02 2.850783235799331239e-01 4.293955305054869553e-01
2.652499999999999147e+01 6.639676020350980812e-01 1.075261787558616684e-02 2.852131891499229965e-01 4.295588945540844694e-01
2.659999999999999432e+01 6.642495556294509829e-01 1.073237446850013391e-02 2.854811608621035113e-01 4.297799801937061126e-01
2.667499999999999005e+01 6.647896891234161831e-01 1.071760153023491695e-02 2.858920208190163237e-01 4.300488191927136494e-01
2.674999999999999289e+01 6.655820043883720061e-01 1.070783482917281142e-02 2.864345816803726130e-01 4.303520524771218270e-01
