# tau eta power W_out Q_hot
2.450000000000000000e+01 6.809629341173796258e-01 1.211881748148589330e-02 2.969110282964043668e-01 4.360164311751290045e-01
2.457499999999999929e+01 6.812979456130892064e-01 1.208530794372920762e-02 2.969964427171453147e-01 4.359274009697518548e-01
2.464999999999999858e+01 6.815253187656384881e-01 1.204926855172828819e-02 2.970144698001022654e-01 4.358084162420369223e-01
2.472500000000000142e+01 6.815227202865390410e-01 1.201042636376051242e-02 2.969577918439786357e-01 4.357269141652766464e-01
2.479999999999999716e+01 6.814284946155114708e-01 1.197253768263326079e-02 2.969189345293048454e-01 4.357301417177132929e-01
2.487500000000000000e+01 6.814998788326580570e-01 1.194026927913613249e-02 2.970141983185112800e-01 4.358242863186817528e-01
2.494999999999999929e+01 6.818463501670639637e-01 1.191449954496115633e-02 2.972667636467808405e-01 4.359732417339264865e-01
2.502499999999999858e+01 6.755760736526829069e-01 1.155548645076257333e-02 2.891760484303333989e-01 4.280436500168303127e-01
2.509999999999999787e+01 6.825823172522013094e-01 1.186222784135939311e-02 2.977419188181207321e-01 4.361992851158356110e-01
2.517499999999999716e+01 6.825204153851044397e-01 1.182569496274654512e-02 2.977118706871442200e-01 4.361948213947031139e-01
2.524999999999999645e+01 6.782984233794953077e-01 1.171557664997708269e-02 2.958183104119213036e-01 4.361182338270252479e-01
2.532499999999999574e+01 6.820013593577733957e-01 1.174191348941780455e-02 2.973639591195058607e-01 4.360166663003829934e-01
2.539999999999999858e+01 6.730716350623753286e-01 1.155210225282561794e-02 2.934233972217706876e-01 4.359467580216456195e-01
2.547499999999999432e+01 6.821473242237289236e-01 1.167344287582336437e-02 2.973809572616001873e-01 4.359482866842792625e-01
2.554999999999999716e+01 6.822587195979565866e-01 1.164316607725520564e-02 2.974828932738704523e-01 4.360265171094802050e-01
2.562499999999999645e+01 6.821965147543976871e-01 1.161134512955426003e-02 2.975407189448278089e-01 4.361510393408378761e-01
2.569999999999999574e+01 6.820333104026765625e-01 1.157787457796781785e-02 2.975513766537728477e-01 4.362710326832816010e-01
2.577499999999999503e+01 6.804208818422864402e-01 1.146944961415339269e-02 2.956250638048036894e-01 4.344738259713288864e-01
2.584999999999999432e+01 6.820764316251028969e-01 1.151308340718642034e-02 2.976132060757689102e-01 4.363341002219958131e-01
2.592499999999999716e+01 6.823051564999282892e-01 1.148188017225454556e-02 2.976677434656990195e-01 4.362677617631786076e-01
2.599999999999999289e+01 6.824618847544648981e-01 1.144909387062032630e-02 2.976764406361284143e-01 4.361803161259708572e-01
2.607499999999999574e+01 6.824557676851419341e-01 1.141447857227600136e-02 2.976325287720966717e-01 4.361198818520536369e-01
2.614999999999999503e+01 6.823821450551899037e-01 1.138052472724324950e-02 2.976007216174109127e-01 4.361203231560835669e-01
2.622499999999999432e+01 6.824253707583891604e-01 1.135041037094744291e-02 2.976645119780966242e-01 4.361861746835375420e-01
2.629999999999999361e+01 6.793705618630239140e-01 1.113612938459347494e-02 2.928802028148083103e-01 4.311052307177528631e-01
2.637499999999999289e+01 6.829940827167180206e-01 1.130062325428882880e-02 2.980539383318677737e-01 4.363931487463414971e-01
2.644999999999999218e+01 6.823996176244342404e-01 1.124113433559580620e-02 2.973280031765089815e-01 4.357095102303333300e-01
2.652499999999999147e+01 6.831452214853174221e-01 1.124054611139047033e-02 2.981554856046321200e-01 4.364452479904234461e-01
2.659999999999999432e+01 6.829335778233294185e-01 1.120389975116780137e-02 2.980237333810634714e-01 4.363875830076117679e-01
2.667499999999999005e+01 6.794301575469335885e-01 1.111315511858420452e-02 2.964434127882336067e-01 4.363118261611105275e-01
