# tau eta power W_out Q_hot
2.450000000000000000e+01 6.784399767083092447e-01 1.202579109731049568e-02 2.946318818841071607e-01 4.342784800412523016e-01
2.457499999999999929e+01 6.787470136451916325e-01 1.199250938416861548e-02 2.947159181159437757e-01 4.342058413387047677e-01
2.464999999999999858e+01 6.789200370373302817e-01 1.195620071646611576e-02 2.947203476608897255e-01 4.341017079816787971e-01
2.472500000000000142e+01 6.788709213743175930e-01 1.191728846505350249e-02 2.946549572984478171e-01 4.340367925937134164e-01
2.479999999999999716e+01 6.787756972677982947e-01 1.188023146062237162e-02 2.946297402234347995e-01 4.340605319391600547e-01
2.487500000000000000e+01 6.789035218043267816e-01 1.184989635220626975e-02 2.947661717611309573e-01 4.341797653041020721e-01
2.494999999999999929e+01 6.793434709547290229e-01 1.182677398823782193e-02 2.950780110065336359e-01 4.343576167617241301e-01
2.502499999999999858e+01 6.798999100738215562e-01 1.180573117778728476e-02 2.954384227241267924e-01 4.345322279746278160e-01
2.509999999999999787e+01 6.802595341744802626e-01 1.177976429357882951e-02 2.956720837688285863e-01 4.346459974686535110e-01
2.517499999999999716e+01 6.802686475786727804e-01 1.174551963563389388e-02 2.956934568270832564e-01 4.346715931706766067e-01
2.524999999999999645e+01 6.800578348799495298e-01 1.170569498582194751e-02 2.955687983920041173e-01 4.346230323839748722e-01
2.532499999999999574e+01 6.799043674849836183e-01 1.166636413757082130e-02 2.954506717839809893e-01 4.345473950650954320e-01
2.539999999999999858e+01 6.799734840927995627e-01 1.163187658345359032e-02 2.954496652197211581e-01 4.345017447465636673e-01
2.547499999999999432e+01 6.801862819774084912e-01 1.160191958728748300e-02 2.955589014861486064e-01 4.345264074231435236e-01
2.554999999999999716e+01 6.803282275594086936e-01 1.157295556931153477e-02 2.956890147959096993e-01 4.346269974077903164e-01
2.562499999999999645e+01 6.802758728727095194e-01 1.154207446595691654e-02 2.957656581901458859e-01 4.347731118864601729e-01
2.569999999999999574e+01 6.801137363362941279e-01 1.150936862947051463e-02 2.957907737773921575e-01 4.349136886585881490e-01
2.577499999999999503e+01 6.800353449005756001e-01 1.147686953588684944e-02 2.958163122874835071e-01 4.350013782456164102e-01
2.584999999999999432e+01 6.801410256319675440e-01 1.144569224650972619e-02 2.958711445722763678e-01 4.350144064568982616e-01
2.592499999999999716e+01 6.803407340122956670e-01 1.141465943981019582e-02 2.959250459770792485e-01 4.349659386582180876e-01
2.599999999999999289e+01 6.804559667022357372e-01 1.138185663477317075e-02 2.959282725041023632e-01 4.348970205056621463e-01
2.607499999999999574e+01 6.804118782533878917e-01 1.134733489951975961e-02 2.958817575049776938e-01 4.348568373975244539e-01
2.614999999999999503e+01 6.803217871689840601e-01 1.131388781710693583e-02 2.958581664173463022e-01 4.348797466100531306e-01
2.622499999999999432e+01 6.803766885325349678e-01 1.128477675507507869e-02 2.959432704018438720e-01 4.349697386607215277e-01
2.629999999999999361e+01 6.806493493518970261e-01 1.126045754514495151e-02 2.961500334373121657e-01 4.350992676615371701e-01
2.637499999999999289e+01 6.810086276788808179e-01 1.123754875875144707e-02 2.963903485120693571e-01 4.352226043336233086e-01
2.644999999999999218e+01 6.812305109702881945e-01 1.121125664791997739e-02 2.965377383374833142e-01 4.352972063965830918e-01
2.652499999999999147e+01 6.811996208703879896e-01 1.117920127785940361e-02 2.965283138952206077e-01 4.353031105864944572e-01
2.659999999999999432e+01 6.810090481133871387e-01 1.114324175500408347e-02 2.964102306831085665e-01 4.352515308045608045e-01
2.667499999999999005e+01 6.808674725100285485e-01 1.110775035915832591e-02 2.962992408305482606e-01 4.351790220470314052e-01
2.674999999999999289e+01 6.809074848069622821e-01 1.107601684952292005e-02 2.962834507247380511e-01 4.351302597426059959e-01
2.682499999999999218e+01 6.810783766163377440e-01 1.104800761460698194e-02 2.963628042618321468e-01 4.351375912625369269e-01
2.689999999999999147e+01 6.812177200298624724e-01 1.102121017509619626e-02 2.964705537100875699e-01 4.352067554805990612e-01
2.697499999999999076e+01 6.812205759557340423e-01 1.099334916129220130e-02 2.965455936258570846e-01 4.353150860274759282e-01
2.704999999999999005e+01 6.811364245999625977e-01 1.096422270017338718e-02 2.965822240396900344e-01 4.354226456379504118e-01
2.712499999999999289e+01 6.811048999817648220e-01 1.093511319268455038e-02 2.966149453515682932e-01 4.354908404850846848e-01
2.719999999999998863e+01 6.812048488283004577e-01 1.090678650529977763e-02 2.966645929441538154e-01 4.354998257197211231e-01
2.727499999999999147e+01 6.813729869021050156e-01 1.087840595084661743e-02 2.967085223093414159e-01 4.354568320331291265e-01
2.734999999999999076e+01 6.814721222080680763e-01 1.084853593993762369e-02 2.967074579572939186e-01 4.353919232908881609e-01
2.742499999999999005e+01 6.814360300331945286e-01 1.081709270536954787e-02 2.966587674447597189e-01 4.353435309698970856e-01
2.749999999999998934e+01 6.813418966048181424e-01 1.078603109588152989e-02 2.966158551367419349e-01 4.353406954934119777e-01
2.757499999999998863e+01 6.813355875007786056e-01 1.075781880374861513e-02 2.966468535133679474e-01 4.353902231960384284e-01
2.764999999999998792e+01 6.814837338014295698e-01 1.073304734194546403e-02 2.967687590047919377e-01 4.354744571075327975e-01
2.772499999999998721e+01 6.817004784771839576e-01 1.070952860523009809e-02 2.969216805800043435e-01 4.355603229783300279e-01
2.779999999999999005e+01 6.818227585970328963e-01 1.068389600877240643e-02 2.970123090438727687e-01 4.356151291503182477e-01
2.787499999999998579e+01 6.817618409471831731e-01 1.065435750254848345e-02 2.969902153835388692e-01 4.356216460735399809e-01
2.794999999999998863e+01 6.815852175134775592e-01 1.062213508690088362e-02 2.968886756788795545e-01 4.355855556286458707e-01
2.802499999999998792e+01 6.814522533326796694e-01 1.059034134726643921e-02 2.967943162571418103e-01 4.355320784481273577e-01
2.809999999999998721e+01 6.814683058345477606e-01 1.056139247439892744e-02 2.967751285306097220e-01 4.354936627128527249e-01
2.817499999999998650e+01 6.815974315063983990e-01 1.053529923930715193e-02 2.968320560674788666e-01 4.354946810926948464e-01
2.824999999999998579e+01 6.817123657746387844e-01 1.051020195887333517e-02 2.969132053381715597e-01 4.355402956506225776e-01
2.832499999999998863e+01 6.817255418692895752e-01 1.048436200570787569e-02 2.969695538116754463e-01 4.356145333756833438e-01
2.839999999999998437e+01 6.816699643607413428e-01 1.045759087792458644e-02 2.969955809330581120e-01 4.356882310511884793e-01
2.847499999999998721e+01 6.816547588472838815e-01 1.043088419014993364e-02 2.970194273145192465e-01 4.357329329245725469e-01
2.854999999999998650e+01 6.817469835086519270e-01 1.040491962557533491e-02 2.970604553101756640e-01 4.357341689747362135e-01
2.862499999999998579e+01 6.819015821926853738e-01 1.037914905426596396e-02 2.971031416783630474e-01 4.356979796454122367e-01
2.869999999999998508e+01 6.820085151008351554e-01 1.035245695161898273e-02 2.971155145114646734e-01 4.356478078100477491e-01
2.877499999999998437e+01 6.820065397725451062e-01 1.032462826194274763e-02 2.970911782374023868e-01 4.356133862535758183e-01
2.884999999999998366e+01 6.819469441310510582e-01 1.029697112981064859e-02 2.970676170950370398e-01 4.356169048804315880e-01
2.892499999999998295e+01 6.819420784278091840e-01 1.027128276697505775e-02 2.970968540347533882e-01 4.356628860909984580e-01
2.899999999999998579e+01 6.820499670031215933e-01 1.024806790534553251e-02 2.971939692550202849e-01 4.357363589662927028e-01
2.907499999999998508e+01 6.822106015530230438e-01 1.022576827428157281e-02 2.973142125747365583e-01 4.358100151154402635e-01
2.914999999999998437e+01 6.822981975533753962e-01 1.020186522901997406e-02 2.973843714259321036e-01 4.358568914476255163e-01
2.922499999999998010e+01 6.822392042862963635e-01 1.017493911543927015e-02 2.973625956487124800e-01 4.358626619233780808e-01
2.929999999999998295e+01 6.820819201486140182e-01 1.014583874562376489e-02 2.972730752467761528e-01 4.358319235056185015e-01
2.937499999999998579e+01 6.819517774606633775e-01 1.011693117086280048e-02 2.971848531440945962e-01 4.357857299686221930e-01
2.944999999999998153e+01 6.819373522942440147e-01 1.009016479292139390e-02 2.971553531515348512e-01 4.357516891424324523e-01
2.952499999999998082e+01 6.820170359193024057e-01 1.006570074550529499e-02 2.971898145110436484e-01 4.357513065791038809e-01
2.959999999999998010e+01 6.820934292514684305e-01 1.004222206476981620e-02 2.972497731171863666e-01 4.357904069584561668e-01
2.967499999999998295e+01 6.820961966744415461e-01 1.001841103347639317e-02 2.972963474184118216e-01 4.358569199885287127e-01
2.974999999999998224e+01 6.820498663931220396e-01 9.994079007423847458e-03 2.973238504708592966e-01 4.359268509840699135e-01
2.982499999999998153e+01 6.820423459599320726e-01 9.969949810415825245e-03 2.973537530956518182e-01 4.359755004319342819e-01
2.989999999999998082e+01 6.821305096191219164e-01 9.946527698545072627e-03 2.974011781864974724e-01 4.359886766427673588e-01
2.997499999999998010e+01 6.822800485898981027e-01 9.923362999466452117e-03 2.974528059090066900e-01 4.359687880713603025e-01
3.004999999999997939e+01 6.823993626356663622e-01 9.899518265310864804e-03 2.974805238725912737e-01 4.359331795440383739e-01
3.012499999999997868e+01 6.824316296193340126e-01 9.874716511405166874e-03 2.974758349060804274e-01 4.359056966219677087e-01
3.019999999999998153e+01 6.824112990794545253e-01 9.849896145716283136e-03 2.974668636006315703e-01 4.359055367370124889e-01
3.027499999999998082e+01 6.824277681761660164e-01 9.826477003270550625e-03 2.974965912740157314e-01 4.359385786265634333e-01
3.034999999999998010e+01 6.825323842912695005e-01 9.804967931246097099e-03 2.975807767133188397e-01 4.359951023017345495e-01
3.042499999999997584e+01 6.826816997351780048e-01 9.784276439345667223e-03 2.976866106670916778e-01 4.360547686902528364e-01
3.049999999999997868e+01 6.827738015386836112e-01 9.762464635179511629e-03 2.977551713729749139e-01 4.360963626635360191e-01
3.057499999999998153e+01 6.827427355955366650e-01 9.738326906765003635e-03 2.977493451743398190e-01 4.361076722619710022e-01
3.064999999999997726e+01 6.826195835028647796e-01 9.712372246952543850e-03 2.976842093690952318e-01 4.360909305319482510e-01
3.072499999999997655e+01 6.825023624261667976e-01 9.686344713978119192e-03 2.976129413369774657e-01 4.360614083136939989e-01
3.079999999999997584e+01 6.824658468543278733e-01 9.661765834524676036e-03 2.975823877033597631e-01 4.360399704615235406e-01
3.087499999999997868e+01 6.824990887147570628e-01 9.638836463464348081e-03 2.975990758094615440e-01 4.360431841306674494e-01
3.094999999999997797e+01 6.825285112681420685e-01 9.616608934780408041e-03 2.976340465314534223e-01 4.360756241207383033e-01
3.102499999999997726e+01 6.824993763648995460e-01 9.594102320230802131e-03 2.976570244851604041e-01 4.361279069155039601e-01
3.109999999999997655e+01 6.824327953405583402e-01 9.571202502827209566e-03 2.976643978379259758e-01 4.361812619063549223e-01
3.117499999999997584e+01 6.824030362615078893e-01 9.548529235528239317e-03 2.976753989175926485e-01 4.362164045288898784e-01
3.124999999999997513e+01 6.824608999313247493e-01 9.526554134939304100e-03 2.977048167168530046e-01 4.362225246117553690e-01
3.132499999999997442e+01 6.825817268861139597e-01 9.504985354959034904e-03 2.977436662440915427e-01 4.362022224098724976e-01
3.139999999999997726e+01 6.826900008596494818e-01 9.483089581851161104e-03 2.977690128701262484e-01 4.361701687371615233e-01
3.147499999999997655e+01 6.827347624482249522e-01 9.460593277154968894e-03 2.977721733984524111e-01 4.361462016825807808e-01
3.154999999999997584e+01 6.827393593144508444e-01 9.438165701018309470e-03 2.977741278671274250e-01 4.361461278080218662e-01
3.162499999999997158e+01 6.827752392258488179e-01 9.416890083454441951e-03 2.978091488892464778e-01 4.361745004504139489e-01
3.169999999999997442e+01 6.828857771712693037e-01 9.397168935451366556e-03 2.978902552538080784e-01 4.362226674097160473e-01
3.177499999999997726e+01 6.830361621870019162e-01 9.378132765215457800e-03 2.979901686147209405e-01 4.362729019508883033e-01
3.184999999999997300e+01 6.831396622189128687e-01 9.358190232972803113e-03 2.980583589201835082e-01 4.363066227951940546e-01
3.192499999999997229e+01 6.831353929282629744e-01 9.336280726201059976e-03 2.980607621839685972e-01 4.363128675068785323e-01
3.199999999999997158e+01 6.830427074035443358e-01 9.312713931717024954e-03 2.980068458149445210e-01 4.362931374346419866e-01
3.207499999999997442e+01 6.829409597686213473e-01 9.288858700974955696e-03 2.979401428337714597e-01 4.362604681592283096e-01
3.214999999999997726e+01 6.828961305955134620e-01 9.266003398513923336e-03 2.979020092622224336e-01 4.362332658151681919e-01
3.222499999999997300e+01 6.829058839283336235e-01 9.244433582677673289e-03 2.979018722017877652e-01 4.362268347845287830e-01
3.229999999999996874e+01 6.829139825457810620e-01 9.223493703442714811e-03 2.979188466211993846e-01 4.362465174759070918e-01
3.237499999999997158e+01 6.828756070154680113e-01 9.202432610274294614e-03 2.979287557576300038e-01 4.362855440974647836e-01
3.244999999999997442e+01 6.828063181689844052e-01 9.181135036594578053e-03 2.979278319374938366e-01 4.363284638847778618e-01
3.252499999999997016e+01 6.827664913054293239e-01 9.160059323977672724e-03 2.979309295123735435e-01 4.363584524230801343e-01
3.259999999999997300e+01 6.827991737749586898e-01 9.139561237509826949e-03 2.979496963428200917e-01 4.363650510816526884e-01
3.267499999999996874e+01 6.828855757397308546e-01 9.119396666133663953e-03 2.979762860659171952e-01 4.363487773821207449e-01
3.274999999999997158e+01 6.829634286853536462e-01 9.098961525268893513e-03 2.979909899525560180e-01 4.363205662800470064e-01
3.282499999999996732e+01 6.829894942837501093e-01 9.078016064601967389e-03 2.979858773205592559e-01 4.362964288829311310e-01
3.289999999999997016e+01 6.829829922553285471e-01 9.057099924937540500e-03 2.979785875304448162e-01 4.362899089865586721e-01
3.297499999999997300e+01 6.830057415053584213e-01 9.037131688272938973e-03 2.979994174207999391e-01 4.363058746241330610e-01
3.304999999999996874e+01 6.830980688462272576e-01 9.018516702108344413e-03 2.980619770046805117e-01 4.363384857874301748e-01
3.312499999999997158e+01 6.832338805813372717e-01 9.000622753764639036e-03 2.981456287184534037e-01 4.363741863397828102e-01
3.319999999999996732e+01 6.833396919562505500e-01 8.982175544307321666e-03 2.982082280710027788e-01 4.363982241647613169e-01
3.327499999999997016e+01 6.833597813999274795e-01 8.962262985611533714e-03 2.982193008462235007e-01 4.364015983429591072e-01
3.334999999999996589e+01 6.833049515378413208e-01 8.941054391679177302e-03 2.981841639625002482e-01 4.363851941822008973e-01
3.342499999999996874e+01 6.832390833520191054e-01 8.919601522518453077e-03 2.981376808901790021e-01 4.363592308383392182e-01
3.349999999999997158e+01 6.832182647840886469e-01 8.898935343448058366e-03 2.981143340055096846e-01 4.363383553566444473e-01
3.357499999999996732e+01 6.832420807729527867e-01 8.879292658238249064e-03 2.981222510003489479e-01 4.363347331638045556e-01
3.364999999999996305e+01 6.832624644703316763e-01 8.860124861594152398e-03 2.981432015926429591e-01 4.363523786189030806e-01
3.372499999999996589e+01 6.832378785571573410e-01 8.840770885826104708e-03 2.981549981244850933e-01 4.363853461317462323e-01
3.379999999999996874e+01 6.831770216399866147e-01 8.821080132608972654e-03 2.981525084821829985e-01 4.364205748115753125e-01
3.387499999999997158e+01 6.831291787833153606e-01 8.801406331555967910e-03 2.981476394814581710e-01 4.364440119692631348e-01
3.394999999999996732e+01 6.831331779858014208e-01 8.782077237083874346e-03 2.981515221989972098e-01 4.364471406265004183e-01
3.402499999999996305e+01 6.831780912055149813e-01 8.762969007391001666e-03 2.981600204764784934e-01 4.364308872234976544e-01
3.409999999999996589e+01 6.832158044140903552e-01 8.743662270444563581e-03 2.981588834221593487e-01 4.364051321644313308e-01
3.417499999999996874e+01 6.832123765837527785e-01 8.724009368214848820e-03 2.981430201587421669e-01 4.363841030654891373e-01
3.424999999999996447e+01 6.831856471965184197e-01 8.704479654083068299e-03 2.981284281523448598e-01 4.363798176611696222e-01
3.432499999999996021e+01 6.831900086069911948e-01 8.685850203528796415e-03 2.981418082361255717e-01 4.363966165782048323e-01
3.439999999999996305e+01 6.832622058766602002e-01 8.668477682793303621e-03 2.981956322880893184e-01 4.364292795991681073e-01
3.447499999999996589e+01 6.833814375064117819e-01 8.651847602718183358e-03 2.982724461037090657e-01 4.364655370097180187e-01
3.454999999999996874e+01 6.834836683030192095e-01 8.634876644318480177e-03 2.983349880612031768e-01 4.364917581745900721e-01
3.462499999999996447e+01 6.835172940802092256e-01 8.616743010212172746e-03 2.983547267285961979e-01 4.364991629510766025e-01
3.469999999999996021e+01 6.834872286406793451e-01 8.597515050437083348e-03 2.983337722501664402e-01 4.364877056203276817e-01
3.477499999999996305e+01 6.834462440860304966e-01 8.578029621714304206e-03 2.983009800951146318e-01 4.364659001002063610e-01
3.484999999999996589e+01 6.834435154931979284e-01 8.559159226156062839e-03 2.982866990315384825e-01 4.364467469067782046e-01
3.492499999999996163e+01 6.834807064158602286e-01 8.541144848690205432e-03 2.982994838405050864e-01 4.364417035336273787e-01
3.499999999999996447e+01 6.835165437245445119e-01 8.523558733861590075e-03 2.983245556851553681e-01 4.364555012224831110e-01
3.507499999999996021e+01 6.835122818882859441e-01 8.505838536246127304e-03 2.983422866588325562e-01 4.364841635831702149e-01
3.514999999999996305e+01 6.834711886211598530e-01 8.487818961323166309e-03 2.983468364905089709e-01 4.365170638610184062e-01
3.522499999999995879e+01 6.834333904109221036e-01 8.469762041901128871e-03 2.983473679259669442e-01 4.365419836256203556e-01
3.529999999999996163e+01 6.834334442926252029e-01 8.451937715352297875e-03 2.983534013519357764e-01 4.365507773192762175e-01
3.537499999999996447e+01 6.834651360729541159e-01 8.434259565189337546e-03 2.983619321185725370e-01 4.365430164190919893e-01
3.544999999999996021e+01 6.834894624470606583e-01 8.416386641861546211e-03 2.983609064539914923e-01 4.365259785948797933e-01
3.552499999999996305e+01 6.834773063759611578e-01 8.398181736108059278e-03 2.983454061752385256e-01 4.365110639256942759e-01
3.559999999999995879e+01 6.834427715379122192e-01 8.380013880465223691e-03 2.983284941445616401e-01 4.365083757828765454e-01
3.567499999999996163e+01 6.834323074984226531e-01 8.362529777414908980e-03 2.983332498092765572e-01 4.365220176688312526e-01
3.574999999999995737e+01 6.834791846101349044e-01 8.346060462216997947e-03 2.983716615242573145e-01 4.365482786347798516e-01
3.582499999999996021e+01 6.835681354965906786e-01 8.330229386848060288e-03 2.984304677838314213e-01 4.365775001595577631e-01
3.589999999999996305e+01 6.836457326533053047e-01 8.314173650833200924e-03 2.984788340649116023e-01 4.365986940435976349e-01
3.597499999999995879e+01 6.836675479409324296e-01 8.297219645515030093e-03 2.984924767474028684e-01 4.366047176678218289e-01
3.604999999999995453e+01 6.836372309890271781e-01 8.279417392867123235e-03 2.984729970128594534e-01 4.365955853238925322e-01
3.612499999999995737e+01 6.836007085584856480e-01 8.261461643243636632e-03 2.984453018621759934e-01 4.365783974851489280e-01
3.619999999999996021e+01 6.836020745989100922e-01 8.244089207827532545e-03 2.984360293233563333e-01 4.365639608370962543e-01
3.627499999999996305e+01 6.836440747734822132e-01 8.227507240506000755e-03 2.984528251493548945e-01 4.365617082957149453e-01
3.634999999999995879e+01 6.836900654553339507e-01 8.211339623756341508e-03 2.984821953235425873e-01 4.365752998396357221e-01
3.642499999999995453e+01 6.837030063520430634e-01 8.195068653262161176e-03 2.985053756950738491e-01 4.366009406449377628e-01
3.649999999999995737e+01 6.836815637580517802e-01 8.178501765264176160e-03 2.985153144321420760e-01 4.366291710299559092e-01
3.657499999999996021e+01 6.836582567763868079e-01 8.161828469466812092e-03 2.985188762707483567e-01 4.366492663722613132e-01
3.664999999999995595e+01 6.836636846946346768e-01 8.145282710253814312e-03 2.985246113308019922e-01 4.366541883296624627e-01
3.672499999999995168e+01 6.836945329119513692e-01 8.128821671294552548e-03 2.985309758782920264e-01 4.366437955950979166e-01
3.679999999999995453e+01 6.837179824699665120e-01 8.112181082425687362e-03 2.985282638332649174e-01 4.366248533566663426e-01
3.687499999999995737e+01 6.837074986551751055e-01 8.095242761783222329e-03 2.985120768407559799e-01 4.366078731444618111e-01
3.694999999999996021e+01 6.836728442870411149e-01 8.078298166191736837e-03 2.984931172407843114e-01 4.366022721760490222e-01
3.702499999999995595e+01 6.836529032258190641e-01 8.061880558241146452e-03 2.984911276688780868e-01 4.366120969580418176e-01
3.709999999999995168e+01 6.836774403996083160e-01 8.046280224362750005e-03 2.985169963238576418e-01 4.366342644703545828e-01
3.717499999999995453e+01 6.837356766795407159e-01 8.031205929592536222e-03 2.985600804326021818e-01 4.366600875392581682e-01
3.724999999999995737e+01 6.837835228431801138e-01 8.015949926265853592e-03 2.985941347534026846e-01 4.366793360446076244e-01
3.732499999999995310e+01 6.837835245063360601e-01 7.999945309950034014e-03 2.985979586938846131e-01 4.366849273086247929e-01
3.739999999999995595e+01 6.837393969260597837e-01 7.983225762042338997e-03 2.985726435003831503e-01 4.366760857173059285e-01
3.747499999999995168e+01 6.836922146506501097e-01 7.966379004482706735e-03 2.985400531929890411e-01 4.366585530676777571e-01
3.754999999999995453e+01 6.836823847264265064e-01 7.950048279926780898e-03 2.985243129112502558e-01 4.366418085068900501e-01
3.762499999999995026e+01 6.837141539494009379e-01 7.934439360611949751e-03 2.985332809430242262e-01 4.366346363002417963e-01
3.769999999999995310e+01 6.837558351827096592e-01 7.919254879753633361e-03 2.985559089667115806e-01 4.366411131057229555e-01
3.777499999999995595e+01 6.837734904900354405e-01 7.904056910456945528e-03 2.985757497925107806e-01 4.366588555203163580e-01
3.784999999999995168e+01 6.837637129796928503e-01 7.888669362356290002e-03 2.985861353651851902e-01 4.366802883762463394e-01
3.792499999999995453e+01 6.837537111833758008e-01 7.873242155728252256e-03 2.985927087559936410e-01 4.366962897199019311e-01
3.799999999999995026e+01 6.837704883053371541e-01 7.857970976649480618e-03 2.986028971126798437e-01 4.367004751151807307e-01
3.807499999999995310e+01 6.838115467597783992e-01 7.842813302866024489e-03 2.986151165066235347e-01 4.366921236144706286e-01
3.814999999999994884e+01 6.838469699501039667e-01 7.827518736614783382e-03 2.986198398018535816e-01 4.366764099629512064e-01
3.822499999999995168e+01 6.838503212856330560e-01 7.811938981547002572e-03 2.986113675696338010e-01 4.366618809336038076e-01
3.829999999999995453e+01 6.838264890264426077e-01 7.796271788911085347e-03 2.985972095152942263e-01 4.366563950168181885e-01
