# tau eta power W_out Q_hot
2.450000000000000000e+01 5.163862496319190365e-01 7.500410880275702047e-03 1.837600665667546984e-01 3.558577841639647965e-01
2.457499999999999929e+01 5.220938741787375381e-01 7.601071597606565838e-03 1.867963345111813833e-01 3.577830419960685848e-01
2.464999999999999858e+01 5.284965841080695448e-01 7.713570001170042684e-03 1.901395005288415430e-01 3.597743225715171467e-01
2.472500000000000142e+01 5.354550787143623758e-01 7.835440986288117957e-03 1.937312783859737042e-01 3.618067809742809837e-01
2.479999999999999716e+01 5.427821091676960918e-01 7.963454885115872975e-03 1.974936811508736234e-01 3.638544414326977394e-01
2.487500000000000000e+01 5.502606976926671667e-01 8.093895110660045619e-03 2.013356408776686424e-01 3.658913706210562000e-01
2.494999999999999929e+01 5.576642324161249498e-01 8.222872091271031525e-03 2.051606586772122265e-01 3.678928049380847387e-01
2.502499999999999858e+01 5.647762785934338226e-01 8.346641443547674413e-03 2.088747021247805424e-01 3.698361812308753604e-01
2.509999999999999787e+01 5.714084191345046859e-01 8.461899098636928643e-03 2.123936673757869098e-01 3.717020265425792225e-01
2.517499999999999716e+01 5.774144935172162985e-01 8.566025334792594370e-03 2.156496878034035447e-01 3.734746706647634751e-01
2.524999999999999645e+01 5.827002291014911073e-01 8.657258183435686053e-03 2.185957691317510498e-01 3.751427547382641947e-01
2.532499999999999574e+01 5.872276319706110081e-01 8.734782500369749070e-03 2.212083668218638444e-01 3.766995195364625793e-01
2.539999999999999858e+01 5.910141433319211490e-01 8.798731623036548308e-03 2.234877832251283003e-01 3.781428680626593430e-01
2.547499999999999432e+01 5.941268169106652675e-01 8.850103915150462144e-03 2.254563972384580062e-01 3.794752076850931299e-01
2.554999999999999716e+01 5.966724507965035507e-01 8.890608381667795823e-03 2.271550441516121399e-01 3.807030873444564034e-01
2.562499999999999645e+01 5.987847210734814629e-01 8.922456764801144774e-03 2.286379545980292693e-01 3.818366543958147119e-01
2.569999999999999574e+01 6.006096351744455442e-01 8.948124536508743690e-03 2.299668005882746780e-01 3.828889633471854181e-01
2.577499999999999503e+01 6.022907902139257308e-01 8.970106001737608581e-03 2.312044821947868423e-01 3.838751745027780826e-01
2.584999999999999432e+01 6.039558413299228601e-01 8.990687231628291878e-03 2.324092649375912867e-01 3.848116849500476944e-01
2.592499999999999716e+01 6.057054035890535593e-01 9.011757074911669330e-03 2.336298021670849545e-01 3.857152351336677887e-01
2.599999999999999289e+01 6.076053491318376132e-01 9.034671716944888201e-03 2.349014646405670481e-01 3.866020353115725561e-01
2.607499999999999574e+01 6.096832241500536043e-01 9.060183874789240477e-03 2.362442945351294066e-01 3.874869525309189155e-01
2.614999999999999503e+01 6.119287827046233641e-01 9.088436373967978196e-03 2.376626111792625728e-01 3.883827953456174820e-01
2.622499999999999432e+01 6.142985706950500058e-01 9.119018726044189616e-03 2.391462660905088189e-01 3.892997273620969478e-01
2.629999999999999361e+01 6.167236966988159930e-01 9.151073627380081066e-03 2.406732364000960800e-01 3.902448336076043134e-01
2.637499999999999289e+01 6.191199607513875325e-01 9.183441131211691338e-03 2.422132598357082944e-01 3.912218555217458760e-01
2.644999999999999218e+01 6.213989542762984319e-01 9.214820289685305560e-03 2.437319966621762646e-01 3.922311020719925767e-01
2.652499999999999147e+01 6.234790025471448338e-01 9.243932056400861255e-03 2.451952977960327740e-01 3.932695356127765551e-01
2.659999999999999432e+01 6.252945853122789943e-01 9.269663654408654904e-03 2.465730532072701875e-01 3.943310225277720793e-01
2.667499999999999005e+01 6.268034255462106019e-01 9.291182535294907618e-03 2.478422941289916137e-01 3.954067320436487343e-01
2.674999999999999289e+01 6.279904694665185971e-01 9.308008030155658780e-03 2.489892148066638056e-01 3.964856584816988105e-01
2.682499999999999218e+01 6.288685352116260008e-01 9.320036549985224322e-03 2.500099804533535419e-01 3.975552384239108283e-01
2.689999999999999147e+01 6.294757528492627152e-01 9.327520920360030110e-03 2.509103127576847170e-01 3.986020297397680490e-01
2.697499999999999076e+01 6.298702474894359860e-01 9.331009168044043442e-03 2.517039723079880220e-01 3.996124174958899378e-01
2.704999999999999005e+01 6.301228033255871219e-01 9.331252427263155361e-03 2.524103781574682515e-01 4.005733117819681999e-01
2.712499999999999289e+01 6.303084609550481110e-01 9.329095107457651206e-03 2.530517047897886673e-01 4.014728033419745490e-01
2.719999999999998863e+01 6.304980024035974351e-01 9.325360924035996577e-03 2.536498171337789875e-01 4.023007466586887571e-01
2.727499999999999147e+01 6.307502590606104409e-01 9.320748478694618894e-03 2.542234147563956492e-01 4.030492435072732249e-01
2.734999999999999076e+01 6.311060849692592400e-01 9.315748991895626829e-03 2.547857349283453310e-01 4.037130064127899542e-01
2.742499999999999005e+01 6.315844967231755147e-01 9.310593820554536465e-03 2.553430355287080733e-01 4.042895873054105915e-01
2.749999999999998934e+01 6.321814291799412455e-01 9.305238539422115013e-03 2.558940598341080674e-01 4.047794636518364797e-01
2.757499999999998863e+01 6.328710114433657719e-01 9.299382121438055926e-03 2.564304619986542688e-01 4.051859816012471360e-01
2.764999999999998792e+01 6.336092648068070154e-01 9.292519489535709665e-03 2.569381638856622629e-01 4.055151623516820569e-01
2.772499999999998721e+01 6.343396728555845687e-01 9.284018926659866680e-03 2.573994247416446779e-01 4.057753846341010662e-01
2.779999999999999005e+01 6.350000166153781933e-01 9.273215012976596811e-03 2.577953773607493115e-01 4.059769615988796376e-01
2.787499999999998579e+01 6.355296616640073726e-01 9.259504959894323747e-03 2.581087007570541658e-01 4.061316352745018010e-01
2.794999999999998863e+01 6.358765481822912236e-01 9.242437532093595795e-03 2.583261290220159045e-01 4.062520150498768468e-01
2.802499999999998792e+01 6.360030841117959577e-01 9.221783477758786415e-03 2.584404819641898943e-01 4.063509885728187609e-01
2.809999999999998721e+01 6.358903014172380130e-01 9.197579192348809621e-03 2.584519753050014135e-01 4.064411341531354860e-01
2.817499999999998650e+01 6.355398895798152203e-01 9.170139383530522340e-03 2.583686771309723351e-01 4.065341631062556749e-01
2.824999999999998579e+01 6.349739126436364511e-01 9.140037426284908575e-03 2.582060572925485298e-01 4.066404180567656512e-01
2.832499999999998863e+01 6.342322043285647526e-01 9.108054744425385027e-03 2.579856506358488843e-01 4.067684499070298165e-01
2.839999999999998437e+01 6.333678759316737628e-01 9.075106616702037846e-03 2.577330279143377201e-01 4.069246921233835579e-01
2.847499999999998721e+01 6.324414363534706096e-01 9.042152262745744781e-03 2.574752856816849844e-01 4.071132454037726944e-01
2.854999999999998650e+01 6.315142255418665362e-01 9.010099471011100494e-03 2.572383398973667745e-01 4.073357804040679264e-01
2.862499999999998579e+01 6.306418981310624172e-01 8.979714068307319622e-03 2.570443152052969138e-01 4.075915602294425399e-01
2.869999999999998508e+01 6.298687427129943117e-01 8.951544863267017413e-03 2.569093375757632858e-01 4.078775785399252340e-01
2.877499999999998437e+01 6.292234397004030644e-01 8.925871872263919232e-03 2.568419631243941126e-01 4.081888037207994646e-01
2.884999999999998366e+01 6.287166857182666657e-01 8.902683066922651225e-03 2.568424064807183216e-01 4.085185144836629978e-01
2.892499999999998295e+01 6.283409371402862709e-01 8.881682420029596292e-03 2.569026639993559069e-01 4.088587084084872592e-01
2.899999999999998579e+01 6.280722152458065866e-01 8.862327698495667261e-03 2.570075032563742257e-01 4.092005616834841764e-01
2.907499999999998508e+01 6.278737201048549821e-01 8.843893774058904020e-03 2.571362114807624888e-01 4.095349164125243746e-01
2.914999999999998437e+01 6.277007908460887631e-01 8.825554323434915346e-03 2.572649085281276671e-01 4.098527710652647427e-01
2.922499999999998010e+01 6.275066172100896011e-01 8.806472957771437765e-03 2.573691721908700769e-01 4.101457500721505944e-01
2.929999999999998295e+01 6.272480439443376410e-01 8.785893967719568889e-03 2.574266932541832142e-01 4.104065301430057655e-01
2.937499999999998579e+01 6.268908118241007799e-01 8.763222970267714462e-03 2.574196747516139805e-01 4.106292035172519617e-01
2.944999999999998153e+01 6.264136883586811644e-01 8.738089400757069122e-03 2.573367328522955244e-01 4.108095618513142311e-01
2.952499999999998082e+01 6.258110013586466458e-01 8.710383833080320368e-03 2.571740826716962802e-01 4.109452887746729011e-01
2.959999999999998010e+01 6.250934072166541844e-01 8.680267813410427746e-03 2.569359272769484726e-01 4.110360536691691768e-01
2.967499999999998295e+01 6.242867574530662766e-01 8.648154604367415399e-03 2.566339878846028988e-01 4.110835042082349178e-01
2.974999999999998224e+01 6.234292509481933475e-01 8.614664040799725753e-03 2.562862552137916694e-01 4.110911620268021816e-01
2.982499999999998153e+01 6.225672636401688997e-01 8.580557542327112847e-03 2.559151286999059582e-01 4.110642233315686678e-01
2.989999999999998082e+01 6.217501779939255124e-01 8.546658740444662561e-03 2.555450963392952302e-01 4.110092853753745112e-01
2.997499999999998010e+01 6.210249597276503719e-01 8.513770606669499724e-03 2.552002739349180649e-01 4.109340050468113237e-01
3.004999999999997939e+01 6.204309804246008753e-01 8.482596619255468318e-03 2.549020284086266352e-01 4.108467121261107358e-01
3.012499999999997868e+01 6.199957309622879942e-01 8.453675175303368081e-03 2.546669646560137945e-01 4.107559970787996173e-01
3.019999999999998153e+01 6.197317732044592686e-01 8.427332076459027529e-03 2.545054287090624534e-01 4.106702927188745078e-01
3.027499999999998082e+01 6.196354805396382393e-01 8.403658505553298491e-03 2.544207612556259601e-01 4.105974710067471500e-01
3.034999999999998010e+01 6.196875138714877940e-01 8.382513505747427734e-03 2.544092848994342626e-01 4.105444747627983171e-01
3.042499999999997584e+01 6.198550912269999991e-01 8.363551453651130868e-03 2.544610529773354557e-01 4.105170007938969690e-01
3.049999999999997868e+01 6.200957636817532315e-01 8.346270416942466047e-03 2.545612477167450427e-01 4.105192498096011389e-01
3.057499999999998153e+01 6.203622759587723579e-01 8.330075575977822014e-03 2.546920607355217525e-01 4.105537531950893548e-01
