# tau eta power W_out Q_hot
2.450000000000000000e+01 6.825312069945915772e-01 1.214435103128354634e-02 2.975366002664469045e-01 4.359311299136020557e-01
2.457499999999999929e+01 6.825127801618346979e-01 1.210792410746628668e-02 2.975522349409840395e-01 4.359658069266184599e-01
2.464999999999999858e+01 6.827645380928080154e-01 1.207851382973733519e-02 2.977353659030252953e-01 4.360732716650761454e-01
2.472500000000000142e+01 6.830255948627665941e-01 1.204877737635115000e-02 2.979060206302821534e-01 4.361564528048723632e-01
2.479999999999999716e+01 6.829636472135623970e-01 1.201101872112843652e-02 2.978732642839851952e-01 4.361480519487157537e-01
2.487500000000000000e+01 6.828021266919007681e-01 1.197011411528979725e-02 2.977565886178337173e-01 4.360803474066942131e-01
2.494999999999999929e+01 6.828448747854806156e-01 1.193395553895226432e-02 2.977521906968589871e-01 4.360466069111222920e-01
2.502499999999999858e+01 6.829167775744688917e-01 1.190088814727874311e-02 2.978197258856505325e-01 4.360995888011767185e-01
2.509999999999999787e+01 6.828236772524004516e-01 1.186637070076143434e-02 2.978459045891119761e-01 4.361973881567899336e-01
2.517499999999999716e+01 6.827743492369838796e-01 1.183164768487571239e-02 2.978617304667460219e-01 4.362520806465758350e-01
2.524999999999999645e+01 6.828971824366998344e-01 1.179789928472425170e-02 2.978969569392873051e-01 4.362251955357868693e-01
2.532499999999999574e+01 6.829600989517460308e-01 1.176246259063936685e-02 2.978843651079419175e-01 4.361665719053796075e-01
2.539999999999999858e+01 6.829018051121714672e-01 1.172648693656333334e-02 2.978527681887086498e-01 4.361575353279146805e-01
2.547499999999999432e+01 6.829915266290979003e-01 1.169524797865243576e-02 2.979364422561707748e-01 4.362227504148330492e-01
2.554999999999999716e+01 6.832383945010448434e-01 1.166735870031360318e-02 2.981010147930125420e-01 4.363060056229856043e-01
2.562499999999999645e+01 6.833113603644225265e-01 1.163518303995519573e-02 2.981515653988517922e-01 4.363333945448266138e-01
2.569999999999999574e+01 6.831722746702466598e-01 1.159779778227548221e-02 2.980634030044798655e-01 4.362931782446074491e-01
2.577499999999999503e+01 6.831267608452349371e-01 1.156203758707399082e-02 2.980115188068320764e-01 4.362462955456487546e-01
2.584999999999999432e+01 6.832168167247105739e-01 1.153033711444720853e-02 2.980592144084602824e-01 4.362586035825837261e-01
2.592499999999999716e+01 6.832079499379153376e-01 1.149871181617306490e-02 2.981041038342866489e-01 4.363299693180913152e-01
2.599999999999999289e+01 6.831214138472075925e-01 1.146583280849975718e-02 2.981116530209936277e-01 4.363962935111146413e-01
2.607499999999999574e+01 6.831631451607356187e-01 1.143365182728577761e-02 2.981324713964765838e-01 4.364001095614306602e-01
2.614999999999999503e+01 6.832609215674706471e-01 1.140123696923298416e-02 2.981423467454424880e-01 4.363521128377624292e-01
2.622499999999999432e+01 6.832368658895358049e-01 1.136734079278842700e-02 2.981085122908764262e-01 4.363179552712747600e-01
2.629999999999999361e+01 6.832211384861722747e-01 1.133540497272484890e-02 2.981211507826634355e-01 4.363464974798889617e-01
2.637499999999999289e+01 6.833799903644773854e-01 1.130764939458150410e-02 2.982392527820870720e-01 4.364178890034848823e-01
2.644999999999999218e+01 6.835249211226347432e-01 1.127923319772190271e-02 2.983357180797442387e-01 4.364664825823055816e-01
2.652499999999999147e+01 6.834557910870323605e-01 1.124583305922150465e-02 2.982957218958502965e-01 4.364521096842456371e-01
2.659999999999999432e+01 6.833462578715571167e-01 1.121104849612817797e-02 2.982138899970094847e-01 4.364023166320789016e-01
2.667499999999999005e+01 6.833882959663695189e-01 1.117967587829697337e-02 2.982178540535717071e-01 4.363812722778140918e-01
2.674999999999999289e+01 6.834448721325228071e-01 1.115025587034343749e-02 2.982693445316868530e-01 4.364204878749184391e-01
2.682499999999999218e+01 6.833906853805582493e-01 1.111987364727641189e-02 2.982906105881896197e-01 4.364862105518473312e-01
2.689999999999999147e+01 6.833721093821678583e-01 1.108935518653133070e-02 2.983036545176926957e-01 4.365171630832095362e-01
2.697499999999999076e+01 6.834609766334259762e-01 1.105928382163431575e-02 2.983241810885856049e-01 4.364904380613842116e-01
2.704999999999999005e+01 6.834935557590279265e-01 1.102798885086968966e-02 2.983070984160249850e-01 4.364446393130236856e-01
2.712499999999999289e+01 6.834433855860702067e-01 1.099649639555445695e-02 2.982799647294145373e-01 4.364369763760780341e-01
2.719999999999998863e+01 6.834967146902573010e-01 1.096816167233638332e-02 2.983339974875495182e-01 4.364819772729216507e-01
2.727499999999999147e+01 6.836430931535556477e-01 1.094173694648697091e-02 2.984358752154320227e-01 4.365375415975997209e-01
2.734999999999999076e+01 6.836583402236410256e-01 1.091232734555728362e-02 2.984521529009915852e-01 4.365516155384877584e-01
2.742499999999999005e+01 6.835419467243234459e-01 1.087979071885855804e-02 2.983782604646958436e-01 4.365178492623417172e-01
2.749999999999998934e+01 6.835108442576861565e-01 1.084870219096960645e-02 2.983393102516640472e-01 4.364807270551350760e-01
2.757499999999998863e+01 6.835763148000029155e-01 1.082037254423993261e-02 2.983717729074160108e-01 4.364864119007868526e-01
2.764999999999998792e+01 6.835725094873532637e-01 1.079212691998411751e-02 2.984023093375607338e-01 4.365335135571034031e-01
2.772499999999998721e+01 6.835263096617120171e-01 1.076325978125057189e-02 2.984113774351719872e-01 4.365762856778117040e-01
2.779999999999999005e+01 6.835755159095021627e-01 1.073496552135364164e-02 2.984320414936311172e-01 4.365750887033528760e-01
2.787499999999998579e+01 6.836518534690749771e-01 1.070638366041851315e-02 2.984404445341659606e-01 4.365386314975681081e-01
2.794999999999998863e+01 6.836316998226870112e-01 1.067671425901554547e-02 2.984141635394843561e-01 4.365130575672306890e-01
2.802499999999998792e+01 6.836162021547453893e-01 1.064834335310597437e-02 2.984198224707947933e-01 4.365312313110502052e-01
2.809999999999998721e+01 6.837153164822489249e-01 1.062259572823847330e-02 2.984949399635009604e-01 4.365778164796322303e-01
2.817499999999998650e+01 6.837897849362472025e-01 1.059618550729649923e-02 2.985475266680787110e-01 4.366071755457909265e-01
2.824999999999998579e+01 6.837157564018618849e-01 1.056657607359696299e-02 2.985057740791140501e-01 4.365933815099382054e-01
2.832499999999998863e+01 6.836325893925039310e-01 1.053645457707215981e-02 2.984450758955687899e-01 4.365577073509264716e-01
2.839999999999998437e+01 6.836653260060532311e-01 1.050881680119349071e-02 2.984503971538949862e-01 4.365445866582569057e-01
