# tau_total W_out Q_meas
7.500000000000000000e+00 2.994977759720049981e-01 -1.550223904795142715e+00
7.574999999999999289e+00 2.998248664440126277e-01 -2.095308514774301030e-06
7.649999999999999467e+00 2.994671187757944608e-01 -2.129340208637594146e-06
7.724999999999999645e+00 2.995032180642295261e-01 -1.550264805933214030e+00
7.799999999999998934e+00 2.999283236870837754e-01 -2.187168985579501443e-06
7.874999999999998224e+00 2.995446507051240381e-01 -2.437088196091777181e+00
7.949999999999998401e+00 2.996014014900723055e-01 -2.251656446470575671e-06
8.024999999999998579e+00 2.999703644996252194e-01 -1.550261273377468330e+00
8.099999999999997868e+00 2.996371751881952150e-01 -2.311586102005807903e-06
8.174999999999997158e+00 2.997606184996743917e-01 -2.437079410162012127e+00
8.249999999999996447e+00 3.000103617344204165e-01 -6.424401498430786894e+00
8.324999999999997513e+00 2.997219116317454413e-01 -2.437018447623159556e+00
8.399999999999996803e+00 2.999390907434289488e-01 -2.430524834204188245e-06
8.474999999999996092e+00 2.998506337468285210e-01 -2.461087230550408449e-06
8.549999999999997158e+00 2.997855985537682955e-01 -2.490465234021837365e-06
8.624999999999996447e+00 3.000846550386324640e-01 -7.311270316905387645e+00
8.699999999999995737e+00 2.998239400111891717e-01 -4.874146673015603781e+00
8.774999999999995026e+00 2.998415352086425401e-01 -2.578177381237995239e-06
8.849999999999994316e+00 3.001853334935802309e-01 -2.604177649305873879e-06
8.924999999999995381e+00 2.998948774504904824e-01 -9.748349150136663255e+00
8.999999999999994671e+00 2.999550468636943412e-01 -1.550267858569268187e+00
9.074999999999993960e+00 3.002045423947947711e-01 -2.689509069297838818e-06
9.149999999999995026e+00 2.999459128778241279e-01 -2.719727155749769761e-06
9.224999999999994316e+00 3.000236155374480518e-01 -2.747317039664587575e-06
9.299999999999993605e+00 3.001749244977305331e-01 -2.437089180523336118e+00
9.374999999999992895e+00 2.999996474007485814e-01 -4.874173006047237244e+00
9.449999999999992184e+00 3.001883332377626168e-01 -3.987358117949963976e+00
9.524999999999993250e+00 3.001347138526960778e-01 -2.437100999549692393e+00
9.599999999999992539e+00 3.000557344514049873e-01 -2.882146115543550782e-06
9.674999999999991829e+00 3.002642428884110259e-01 -2.437055559956833317e+00
9.749999999999992895e+00 3.001339094298218768e-01 -8.861497217908276269e+00
9.824999999999992184e+00 3.000886726655497272e-01 -1.550229144879148091e+00
9.899999999999991473e+00 3.003609547825689674e-01 -2.983212108459074030e-06
9.974999999999990763e+00 3.001099474836890213e-01 -2.437065739491449889e+00
1.004999999999999005e+01 3.001552545489716284e-01 -4.874178735100913151e+00
1.012499999999999112e+01 3.003877438189516136e-01 -2.437097386786480246e+00
1.019999999999999041e+01 3.001648270921393191e-01 -3.083978002993556164e-06
1.027499999999998970e+01 3.002399862028329869e-01 -3.987333813671021687e+00
1.034999999999999076e+01 3.003722381749379666e-01 -4.874182955380066851e+00
1.042499999999999005e+01 3.002146381107599904e-01 -2.437094391539122995e+00
