# tau_total W_out Q_meas
1.349999999999997868e+01 3.006540778026589589e-01 -3.046352369264148763e+00
1.357499999999997975e+01 3.006608767265614990e-01 -1.937803795530611772e+00
1.364999999999997726e+01 3.007047871530801331e-01 -2.844347166926176548e-06
1.372499999999997655e+01 3.007889562675413186e-01 -1.937836267724915462e+00
1.379999999999997762e+01 3.007161624923426757e-01 -2.814976367429469079e-06
1.387499999999997868e+01 3.006789413621955287e-01 -4.984112477371895444e+00
1.394999999999997797e+01 3.006882413614064831e-01 -2.786097099112235312e-06
1.402499999999997549e+01 3.007147394209960245e-01 -3.046367964555463548e+00
1.409999999999997655e+01 3.008078408333411113e-01 -1.937835837115334581e+00
1.417499999999997762e+01 3.007424672614860128e-01 -2.734589828408667128e-06
1.424999999999997513e+01 3.007020664188041481e-01 -3.046371536858275331e+00
1.432499999999997442e+01 3.007091730432662757e-01 -2.702147778444689147e-06
1.439999999999997549e+01 3.007299982620352807e-01 -2.681354501400277576e-06
1.447499999999997655e+01 3.008078891413461520e-01 -2.665636086032589780e-06
1.454999999999997584e+01 3.007668027796412957e-01 -2.645137060671635780e-06
1.462499999999997335e+01 3.007208714666069760e-01 -3.046371912232431978e+00
1.469999999999997442e+01 3.007284305560489202e-01 -2.609503687885008499e-06
1.477499999999997549e+01 3.007423875917609735e-01 -2.586636082477222764e-06
1.484999999999997300e+01 3.008180355256939720e-01 -2.569507757949518641e-06
1.492499999999997229e+01 3.008152471477717471e-01 -5.813500442243525690e+00
