# tau_total W_out Q_meas
7.500000000000000000e+00 2.977278263850706708e-01 -8.126474294637103628e-06
7.574999999999999289e+00 2.985214865950647223e-01 -1.218544795770897471e+00
7.649999999999999467e+00 2.980083931148341803e-01 -8.370517828634412884e-06
7.724999999999999645e+00 2.979992803447721883e-01 -3.655594383855522711e+00
7.799999999999998934e+00 2.988308588210828454e-01 -1.550179582541422407e+00
7.874999999999998224e+00 2.983451905381555580e-01 -1.993660932959041343e+00
7.949999999999998401e+00 2.981947803938268526e-01 -1.993560116809124816e+00
8.024999999999998579e+00 2.985725098236673425e-01 -3.655505983819957283e+00
8.099999999999997868e+00 2.986189073044033249e-01 -1.993671223354465116e+00
8.174999999999997158e+00 2.984583755963379215e-01 -3.212147071594785963e+00
8.249999999999996447e+00 2.986689421141552891e-01 -1.218529438094814399e+00
8.324999999999997513e+00 2.989099413282482187e-01 -3.211940959165324738e+00
8.399999999999996803e+00 2.987254989084263679e-01 -2.768712219912616401e+00
8.474999999999996092e+00 2.988203193983868244e-01 -5.649037436118345745e+00
8.549999999999997158e+00 2.988714527955106393e-01 -1.218504817140791063e+00
8.624999999999996447e+00 2.985687997426893503e-01 -9.891358801678842502e-06
8.699999999999995737e+00 2.987825046597492040e-01 -1.218533063347612799e+00
8.774999999999995026e+00 2.991119683549096075e-01 -6.867652716316708705e+00
8.849999999999994316e+00 2.987657123240341495e-01 -1.993553602540638625e+00
8.924999999999995381e+00 2.988407914199612270e-01 -1.218536413155314913e+00
8.999999999999994671e+00 2.993256586917978357e-01 -1.550262688144245615e+00
9.074999999999993960e+00 2.987850742739202037e-01 -2.437042595398506872e+00
9.149999999999995026e+00 2.989871515027954230e-01 -7.751415314792077238e-01
9.224999999999994316e+00 2.995528211919887829e-01 -2.768790077152230467e+00
9.299999999999993605e+00 2.989033095919104710e-01 -1.088877115664734982e-05
9.374999999999992895e+00 2.990388071562134487e-01 -1.993679918115081939e+00
9.449999999999992184e+00 2.994695537490774662e-01 -2.437077309488774546e+00
9.524999999999993250e+00 2.989959521609165671e-01 -2.437075440863231801e+00
9.599999999999992539e+00 2.991242187116158746e-01 -7.751431526740821809e-01
9.674999999999991829e+00 2.995893452746142271e-01 -2.437054414394311141e+00
9.749999999999992895e+00 2.991275976948910564e-01 -3.212178759405455608e+00
9.824999999999992184e+00 2.996239977975948543e-01 -6.755959506686890492e+00
